row_label_raw,row_label_full,col_0,Giá trị ghi số của tài sản và nợ phải trả tại ngày chuyển nhượng,numeric__Giá trị ghi số của tài sản và nợ phải trả tại ngày chuyển nhượng
,,,VND,
Tài sản ngắn hạn,Tài sản ngắn hạn,Tài sản ngắn hạn,338.587.065.862,338587065862.0
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,22.223.118.941,22223118941.0
Các khoản đầu tư tài chính ngắn hạn,Các khoản đầu tư tài chính ngắn hạn,Các khoản đầu tư tài chính ngắn hạn,188.000.000.000,188000000000.0
Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,71.607.673.600,71607673600.0
Hàng tồn kho,Hàng tồn kho,Hàng tồn kho,51.778.673.769,51778673769.0
Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,4.977.599.552,4977599552.0
Tài sản dài hạn,Tài sản dài hạn,Tài sản dài hạn,292.836.224.240,292836224240.0
Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,2.764.131.619,2764131619.0
Tài sản cố định,Tài sản cố định,Tài sản cố định,54.704.715.016,54704715016.0
Tài sản dở dang dài hạn,Tài sản dở dang dài hạn,Tài sản dở dang dài hạn,449.716.363,449716363.0
Các khoản đầu tư tài chính dài hạn,Các khoản đầu tư tài chính dài hạn,Các khoản đầu tư tài chính dài hạn,184.879.611.353,184879611353.0
Tài sản dài bạn khác,Tài sản dài bạn khác,Tài sản dài bạn khác,50.038.049.889,50038049889.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,138.743.873.641,138743873641.0
Nợ ngắn hạn,Nợ ngắn hạn,Nợ ngắn hạn,129.848.933.275,129848933275.0
Nợ dài hạn,Nợ dài hạn,Nợ dài hạn,8.894.940.366,8894940366.0
Tài sản thuần,Tài sản thuần,Tài sản thuần,492.679.416.461,492679416461.0
