row_label_raw,row_label_full,NGUỒN VỐN,Mã số,Thuyết minh,Số cuối năm,Số đầu năm,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
C. NỘ PHẢI TRÁ,C. NỘ PHẢI TRÁ,C. NỘ PHẢI TRÁ,300,,21.851.540.246.332,22.783.553.220.099,300.0,,21851540246332.0,22783553220099.0
I. Nợ ngắn hạn,I. Nợ ngắn hạn,I. Nợ ngắn hạn,310,,16.811.277.946.288,16.479.836.233.321,310.0,,16811277946288.0,16479836233321.0
1. Phải trả người bán ngắn hạn,1. Phải trả người bán ngắn hạn,1. Phải trả người bán ngắn hạn,311,17,7.239.989.131.772,4.649.173.698.344,311.0,17.0,7239989131772.0,4649173698344.0
2. Người mua trả tiền trước ngắn hạn,2. Người mua trả tiền trước ngắn hạn,2. Người mua trả tiền trước ngắn hạn,312,,5.605.664.403,22.183.434.489,312.0,,5605664403.0,22183434489.0
3. Thuế và các khoản phải nộp Nhà nước,3. Thuế và các khoản phải nộp Nhà nước,3. Thuế và các khoản phải nộp Nhà nước,313,18,227.349.134.645,293.127.810.087,313.0,18.0,227349134645.0,293127810087.0
4. Phải trả người lao động,4. Phải trả người lao động,4. Phải trả người lao động,314,,231.720.643.808,218.642.140.172,314.0,,231720643808.0,218642140172.0
5. Chỉ phí phải trả ngắn hạn,5. Chỉ phí phải trả ngắn hạn,5. Chỉ phí phải trả ngắn hạn,315,19,1.017.229.628.854,1.090.647.961.516,315.0,19.0,1017229628854.0,1090647961516.0
6. Doanh thu chưa thực hiện ngắn hạn,6. Doanh thu chưa thực hiện ngắn hạn,6. Doanh thu chưa thực hiện ngắn hạn,318,,-,1.005.508.387,318.0,,,1005508387.0
7. Phải trả ngắn hạn khác,7. Phải trả ngắn hạn khác,7. Phải trả ngắn hạn khác,319,20,2.352.555.482.888,1.980.644.729.308,319.0,20.0,2352555482888.0,1980644729308.0
8. Vay và nợ thuê tài chính ngắn hạn,8. Vay và nợ thuê tài chính ngắn hạn,8. Vay và nợ thuê tài chính ngắn hạn,320,21,4.768.503.650.670,7.018.700.714.605,320.0,21.0,4768503650670.0,7018700714605.0
