row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm máy tính,Khác,Tổng,numeric__Quyền sử dụng đất,numeric__Phần mềm máy tính,numeric__Khác,numeric__Tổng
,,,VND,VND,VND,VND,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,60.611.673.157,60.257.812.237,-,120.869.485.394,60611673157.0,60257812237.0,,120869485394.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,-,482.366.533,1.299.496.364,1.781.862.897,,482366533.0,1299496364.0,1781862897.0
Thanh lý hoặc nhượng bán,NGUYÊN GIÁ > Thanh lý hoặc nhượng bán,Thanh lý hoặc nhượng bán,-,(133.000.000),-,(133.000.000),,-133000000.0,,-133000000.0
Giảm do thanh lý công ty con,NGUYÊN GIÁ > Giảm do thanh lý công ty con,Giảm do thanh lý công ty con,(29.200.784.564),(611.245.000),-,(29.812.029.564),-29200784564.0,-611245000.0,,-29812029564.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,31.410.888.593,59.995.933.770,1.299.496.364,92.706.318.727,31410888593.0,59995933770.0,1299496364.0,92706318727.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,2.072.433.348,51.946.043.276,-,54.018.476.624,2072433348.0,51946043276.0,,54018476624.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,363.868.651,5.583.206.595,28.200.685,5.975.275.931,363868651.0,5583206595.0,28200685.0,5975275931.0
Trích khấu hao vào Xây dựng cơ bản dở dang,GIÁ TRỊ HAO MÒN LỦY KẾ > Trích khấu hao vào Xây dựng cơ bản dở dang,Trích khấu hao vào Xây dựng cơ bản dở dang,-,-,217.374.135,217.374.135,,,217374135.0,217374135.0
Thanh lý hoặc nhượng bán,GIÁ TRỊ HAO MÒN LỦY KẾ > Thanh lý hoặc nhượng bán,Thanh lý hoặc nhượng bán,-,(133.000.000),-,(133.000.000),,-133000000.0,,-133000000.0
Giảm do thanh lý công ty con,GIÁ TRỊ HAO MÒN LỦY KẾ > Giảm do thanh lý công ty con,Giảm do thanh lý công ty con,(774.158.464),(598.862.736),-,(1.373.021.200),-774158464.0,-598862736.0,,-1373021200.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,1.662.143.535,56.797.387.135,245.574.820,58.705.105.490,1662143535.0,56797387135.0,245574820.0,58705105490.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,58.539.239.809,8.311.768.961,-,66.851.008.770,58539239809.0,8311768961.0,,66851008770.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,29.748.745.058,3.198.546.635,1.053.921.544,34.001.213.237,29748745058.0,3198546635.0,1053921544.0,34001213237.0
