row_label_raw,row_label_full,CHỈ TIÊU,CHỈ TIÊU_1,Mã số,Năm nay,Năm trước,numeric__CHỈ TIÊU_1,numeric__Mã số,numeric__Năm nay,numeric__Năm trước
III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,,
1.,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 1.,1.,Tiền thu từ đi vay,33,77.968.652.009.029,87.252.249.563.794,,33.0,77968652009029.0,87252249563794.0
2.,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 2.,2.,Tiền trả nợ gốc vay,34,(79.886.258.019.843),(89.390.038.815.045),,34.0,-79886258019843.0,-89390038815045.0
3.,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 3.,3.,"Cố tức, lợi nhuận đã trả cho chủ sở hữu",36,(1.346.931.938.679),(501.724.739.441),,36.0,-1346931938679.0,-501724739441.0
,,,Lưu chuyển tiền thuần từ hoạt động tài chính,40,(3.264.537.949.493),(2.639.513.990.692),,40.0,-3264537949493.0,-2639513990692.0
,,,Lưu chuyển tiền thuần trong năm (50=20+30+40),50,6.518.487.795.434,3.553.435.168.075,,50.0,6518487795434.0,3553435168075.0
,,,Tiền và tương đương tiền đầu năm,60,16.345.674.140.133,12.792.513.572.897,,60.0,16345674140133.0,12792513572897.0
,,,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,61,(11.065.459.219),(274.600.839),,61.0,-11065459219.0,-274600839.0
,,,Tiền và tương đương tiền cuối năm (70=50+60+61),70,22.853.096.476.348,16.345.674.140.133,,70.0,22853096476348.0,16345674140133.0
Lê Thị Hồng Trâm Người lập biểu,Lê Thị Hồng Trâm Người lập biểu,Lê Thị Hồng Trâm Người lập biểu,Lê Thị Hồng Trâm Người lập biểu,Bạch Đức Long Kế toán trường,Bùi Ngọc Dương Tổng Giám đốc,Bùi Ngọc Dương Tổng Giám đốc,,,,
