row_label_raw,row_label_full,Chỉ tiêu,Số đầu năm > VND,Số phải nộp trong năm > VND,Số đã thực nộp trong năm > VND,Số cuối năm > VND,numeric__Số đầu năm > VND,numeric__Số phải nộp trong năm > VND,numeric__Số đã thực nộp trong năm > VND,numeric__Số cuối năm > VND
a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,,,,
"Thuế xuất, nhập khẩu","a. Các khoản phải thu > Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu",199.048.148,57.124.286.670,56.925.238.522,-,199048148.0,57124286670.0,56925238522.0,
Thuế thu nhập doanh nghiệp,a. Các khoản phải thu > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,3.153.596.211,-,-,3.153.596.211,3153596211.0,,,3153596211.0
Thuế thu nhập cá nhân,a. Các khoản phải thu > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,240.557.030,(38.272.014),-,278.829.044,240557030.0,-38272014.0,,278829044.0
Thuế nhà thầu,a. Các khoản phải thu > Thuế nhà thầu,Thuế nhà thầu,2.112.726.304,25.114.380.829,25.078.189.877,2.076.535.352,2112726304.0,25114380829.0,25078189877.0,2076535352.0
- Thuế GTGT nộp thay nhà thầu,a. Các khoản phải thu > - Thuế GTGT nộp thay nhà thầu,- Thuế GTGT nộp thay nhà thầu,2.095.094.815,14.936.521.770,14.917.962.307,2.076.535.352,2095094815.0,14936521770.0,14917962307.0,2076535352.0
- Thuế TNDN nộp thay nhà thầu,a. Các khoản phải thu > - Thuế TNDN nộp thay nhà thầu,- Thuế TNDN nộp thay nhà thầu,17.631.489,10.177.859.059,10.160.227.570,-,17631489.0,10177859059.0,10160227570.0,
Tiền thuê đất,a. Các khoản phải thu > Tiền thuê đất,Tiền thuê đất,28.108.947,28.108.947,136.685.414,136.685.414,28108947.0,28108947.0,136685414.0,136685414.0
,,,5.734.036.640,82.228.504.432,82.140.113.813,5.645.646.021,5734036640.0,82228504432.0,82140113813.0,5645646021.0
b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,,,,
Thuế giá trị gia tăng,b. Các khoản phải trả > Thuế giá trị gia tăng,Thuế giá trị gia tăng,776.678.561.589,10.632.986.182.324,10.790.604.812.638,619.059.931.275,776678561589.0,10632986182324.0,10790604812638.0,619059931275.0
- Thuế GTGT đầu ra,b. Các khoản phải trả > - Thuế GTGT đầu ra,- Thuế GTGT đầu ra,776.678.561.576,6.702.784.699.386,6.860.403.329.700,619.059.931.262,776678561576.0,6702784699386.0,6860403329700.0,619059931262.0
- Thuế GTGT hàng nhập khẩu,b. Các khoản phải trả > - Thuế GTGT hàng nhập khẩu,- Thuế GTGT hàng nhập khẩu,13,3.930.201.482.938,3.930.201.482.938,13,13.0,3930201482938.0,3930201482938.0,13.0
Thuế tiêu thụ đặc biệt,b. Các khoản phải trả > Thuế tiêu thụ đặc biệt,Thuế tiêu thụ đặc biệt,730.956.064.997,7.236.633.148.943,7.381.503.717.501,586.085.496.439,730956064997.0,7236633148943.0,7381503717501.0,586085496439.0
Thuế thu nhập doanh nghiệp,b. Các khoản phải trả > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,139.100.479.666,917.644.134.163,917.746.993.486,138.997.620.343,139100479666.0,917644134163.0,917746993486.0,138997620343.0
Thuế thu nhập cá nhân,b. Các khoản phải trả > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,3.174.403.174,69.267.796.682,59.724.131.127,12.718.068.729,3174403174.0,69267796682.0,59724131127.0,12718068729.0
Các loại thuế khác,b. Các khoản phải trả > Các loại thuế khác,Các loại thuế khác,8.704.080.211,101.945.912.739,71.161.859.638,39.488.133.312,8704080211.0,101945912739.0,71161859638.0,39488133312.0
,,,1.658.613.589.637,18.958.477.174.851,19.220.741.514.390,1.396.349.250.098,1658613589637.0,18958477174851.0,19220741514390.0,1396349250098.0
