row_label_raw,row_label_full,Ông Nguyễn Văn Hội,Chủ tịch,numeric__Chủ tịch
Ông Bùi Ngọc Dương,Ông Bùi Ngọc Dương,Ông Bùi Ngọc Dương,Thành viên,
Ông Hà Đồng,Ông Hà Đồng,Ông Hà Đồng,Thành viên,
Ông Nguyễn Bá Phước,Ông Nguyễn Bá Phước,Ông Nguyễn Bá Phước,Thành viên độc lập,
Ông Nguyễn Hải Âu,Ông Nguyễn Hải Âu,Ông Nguyễn Hải Âu,Thành viên độc lập,
Ông Khương Lê Thành,Ông Khương Lê Thành,Ông Khương Lê Thành,Thành viên,
