row_label_raw,row_label_full,Chỉ tiêu,Sản phẩm lọc hóa đầu > VND,Nhiên liệu sinh học > VND,Sản xuất bao bì và thương mại dịch vụ > VND,Loại trừ nội bộ > VND,Tổng > VND,numeric__Sản phẩm lọc hóa đầu > VND,numeric__Nhiên liệu sinh học > VND,numeric__Sản xuất bao bì và thương mại dịch vụ > VND,numeric__Loại trừ nội bộ > VND,numeric__Tổng > VND
Tài sản,Tài sản,Tài sản,,,,,,,,,,
Tài sản bộ phận,Tài sản > Tài sản bộ phận,Tài sản bộ phận,77.226.459.874.251,1.202.069.108.072,300.402.597.274,(241.002.517.747),78.487.929.061.850,77226459874251.0,1202069108072.0,300402597274.0,-241002517747.0,78487929061850.0
Tổng Tài sản hợp nhất,Tài sản > Tổng Tài sản hợp nhất,Tổng Tài sản hợp nhất,77.226.459.874.251,1.202.069.108.072,300.402.597.274,(241.002.517.747),78.487.929.061.850,77226459874251.0,1202069108072.0,300402597274.0,-241002517747.0,78487929061850.0
Nguồn vốn,Nguồn vốn,Nguồn vốn,,,,,,,,,,
Nợ phải trả bộ phận,Nguồn vốn > Nợ phải trả bộ phận,Nợ phải trả bộ phận,25.788.902.614.117,1.483.670.428.488,109.830.218.121,(84.821.070.936),27.297.582.189.790,25788902614117.0,1483670428488.0,109830218121.0,-84821070936.0,27297582189790.0
Vốn chủ sở hữu bộ phận,Nguồn vốn > Vốn chủ sở hữu bộ phận,Vốn chủ sở hữu bộ phận,51.437.557.260.134,(281.601.320.416),190.572.379.153,(156.181.446.811),51.190.346.872.060,51437557260134.0,-281601320416.0,190572379153.0,-156181446811.0,51190346872060.0
Tổng Nguồn vốn hợp nhất,Nguồn vốn > Tổng Nguồn vốn hợp nhất,Tổng Nguồn vốn hợp nhất,77.226.459.874.251,1.202.069.108.072,300.402.597.274,(241.002.517.747),78.487.929.061.850,77226459874251.0,1202069108072.0,300402597274.0,-241002517747.0,78487929061850.0
