row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị,Số cuối năm > Số có khả năng trả nợ,Số đầu năm > Giá trị,Số đầu năm > Số có khả năng trả nợ,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Số có khả năng trả nợ,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Số có khả năng trả nợ
,,,VND,VND,VND,VND,,,,
a. Các khoản phải trả người bán ngắn hạn,a. Các khoản phải trả người bán ngắn hạn,a. Các khoản phải trả người bán ngắn hạn,a. Các khoản phải trả người bán ngắn hạn,a. Các khoản phải trả người bán ngắn hạn,a. Các khoản phải trả người bán ngắn hạn,a. Các khoản phải trả người bán ngắn hạn,,,,
SOCAR Trading Singapore Pte Ltd,a. Các khoản phải trả người bán ngắn hạn > SOCAR Trading Singapore Pte Ltd,SOCAR Trading Singapore Pte Ltd,4.614.980.523.717,4.614.980.523.717,18.678.000,18.678.000,4614980523717.0,4614980523717.0,18678000.0,18678000.0
Gunvor Singapore Pte Ltd,a. Các khoản phải trả người bán ngắn hạn > Gunvor Singapore Pte Ltd,Gunvor Singapore Pte Ltd,2.146.259.652.741,2.146.259.652.741,-,-,2146259652741.0,2146259652741.0,,
Công ty Liên doanh điều hành Cửu Long,a. Các khoản phải trả người bán ngắn hạn > Công ty Liên doanh điều hành Cửu Long,Công ty Liên doanh điều hành Cửu Long,1.883.840.970.478,1.883.840.970.478,1.518.204.462.877,1.518.204.462.877,1883840970478.0,1883840970478.0,1518204462877.0,1518204462877.0
Vietsea Company Pte Ltd.,a. Các khoản phải trả người bán ngắn hạn > Vietsea Company Pte Ltd.,Vietsea Company Pte Ltd.,830.026.300.223,830.026.300.223,-,-,830026300223.0,830026300223.0,,
Công ty Điều hành chung Hoàng Long,a. Các khoản phải trả người bán ngắn hạn > Công ty Điều hành chung Hoàng Long,Công ty Điều hành chung Hoàng Long,507.041.790.209,507.041.790.209,979.173.722.187,979.173.722.187,507041790209.0,507041790209.0,979173722187.0,979173722187.0
Công ty Điều hành Dầu khí Biển đông - Lô 05-2,a. Các khoản phải trả người bán ngắn hạn > Công ty Điều hành Dầu khí Biển đông - Lô 05-2,Công ty Điều hành Dầu khí Biển đông - Lô 05-2,264.177.150.208,264.177.150.208,-,-,264177150208.0,264177150208.0,,
Công ty Điều hành Dầu khí Biển đông - Lô 05-3,a. Các khoản phải trả người bán ngắn hạn > Công ty Điều hành Dầu khí Biển đông - Lô 05-3,Công ty Điều hành Dầu khí Biển đông - Lô 05-3,195.097.631.381,195.097.631.381,-,-,195097631381.0,195097631381.0,,
Công ty Điều hành chung Thăng Long,a. Các khoản phải trả người bán ngắn hạn > Công ty Điều hành chung Thăng Long,Công ty Điều hành chung Thăng Long,163.753.108.383,163.753.108.383,153.306.529.836,153.306.529.836,163753108383.0,163753108383.0,153306529836.0,153306529836.0
Công ty Dầu khí Việt Nhật,a. Các khoản phải trả người bán ngắn hạn > Công ty Dầu khí Việt Nhật,Công ty Dầu khí Việt Nhật,-,-,721.253.890.334,721.253.890.334,,,721253890334.0,721253890334.0
Vitol Asia Pte. Ltd.,a. Các khoản phải trả người bán ngắn hạn > Vitol Asia Pte. Ltd.,Vitol Asia Pte. Ltd.,305.500.500,305.500.500,1.321.967.983.680,1.321.967.983.680,305500500.0,305500500.0,1321967983680.0,1321967983680.0
Các đối tượng khác,a. Các khoản phải trả người bán ngắn hạn > Các đối tượng khác,Các đối tượng khác,487.773.888.832,487.773.888.832,331.521.800.217,331.521.800.217,487773888832.0,487773888832.0,331521800217.0,331521800217.0
b. Phải trả người bán là các bên liên quan(chi tiết tại Thuyết minh số 34),a. Các khoản phải trả người bán ngắn hạn > b. Phải trả người bán là các bên liên quan(chi tiết tại Thuyết minh số 34),b. Phải trả người bán là các bên liên quan(chi tiết tại Thuyết minh số 34),3.742.497.937.349,3.742.497.937.349,4.424.440.729.589,4.424.440.729.589,3742497937349.0,3742497937349.0,4424440729589.0,4424440729589.0
,,,14.835.754.454.021,14.835.754.454.021,9.449.887.796.720,9.449.887.796.720,14835754454021.0,14835754454021.0,9449887796720.0,9449887796720.0
