row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Quỹ đầu tư phát triển,Quỹ khác thuộc vốn chủ sở hữu,Lợi nhuận sau thuế chưa phân phối,Lợi ích của cổ đông không kiểm soát,Cộng,numeric__Vốn góp của chủ sở hữu,numeric__Quỹ đầu tư phát triển,numeric__Quỹ khác thuộc vốn chủ sở hữu,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Lợi ích của cổ đông không kiểm soát,numeric__Cộng
,,,VND,VND,VND,VND,VND,VND,,,,,,
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,31.004.996.160.000,2.440.434.975,106.709.914,27.902.497.446,29.093.128.587,31.064.538.930.922,31004996160000.0,2440434975.0,106709914.0,27902497446.0,29093128587.0,31064538930922.0
Lợi nhuận/(Lỗ) trong năm,Lợi nhuận/(Lỗ) trong năm,Lợi nhuận/(Lỗ) trong năm,-,-,-,6.715.504.313.658,(31.964.461.282),6.683.539.852.376,,,,6715504313658.0,-31964461282.0,6683539852376.0
"Trích Quỹ khen thưởng, phúc lợi từ lợi nhuận sau thuế năm 2020","Trích Quỹ khen thưởng, phúc lợi từ lợi nhuận sau thuế năm 2020","Trích Quỹ khen thưởng, phúc lợi từ lợi nhuận sau thuế năm 2020",-,-,-,(1.731.130.013),(348.022.847),(2.079.152.860),,,,-1731130013.0,-348022847.0,-2079152860.0
"Trích Quỹ khen thưởng, phúc lợi từ lợi nhuận sau thuế năm 2021","Trích Quỹ khen thưởng, phúc lợi từ lợi nhuận sau thuế năm 2021","Trích Quỹ khen thưởng, phúc lợi từ lợi nhuận sau thuế năm 2021",-,-,-,(178.137.819.727),(251.080.273),(178.388.900.000),,,,-178137819727.0,-251080273.0,-178388900000.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,-,(1.724.739.441),(1.724.739.441),,,,,-1724739441.0,-1724739441.0
Giảm khác,Giảm khác,Giảm khác,-,-,-,(1.364.040.196),(716.958.690),(2.080.998.886),,,,-1364040196.0,-716958690.0,-2080998886.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,31.004.996.160.000,2.440.434.975,106.709.914,6.562.173.821.168,(5.912.133.946),37.563.804.992.111,31004996160000.0,2440434975.0,106709914.0,6562173821168.0,-5912133946.0,37563804992111.0
Lợi nhuận/(Lỗ) trong năm,Lợi nhuận/(Lỗ) trong năm,Lợi nhuận/(Lỗ) trong năm,-,-,-,14.725.833.852.993,(56.497.063.914),14.669.336.789.079,,,,14725833852993.0,-56497063914.0,14669336789079.0
"Trích Quỹ khen thưởng, phúc lợi từ lợi nhuận sau thuế năm 2021 (*)","Trích Quỹ khen thưởng, phúc lợi từ lợi nhuận sau thuế năm 2021 (*)","Trích Quỹ khen thưởng, phúc lợi từ lợi nhuận sau thuế năm 2021 (*)",-,-,-,(108.830.174.021),(399.879.371),(109.230.053.392),,,,-108830174021.0,-399879371.0,-109230053392.0
"Tạm trích Quỹ khen thưởng, phúc lợi từ lợi nhuận sau thuế năm 2022","Tạm trích Quỹ khen thưởng, phúc lợi từ lợi nhuận sau thuế năm 2022","Tạm trích Quỹ khen thưởng, phúc lợi từ lợi nhuận sau thuế năm 2022",-,-,-,(1.165.658.410),(234.341.528),(1.399.999.938),,,,-1165658410.0,-234341528.0,-1399999938.0
Trích Quỹ Đầu tư Phát triển (*),Trích Quỹ Đầu tư Phát triển (*),Trích Quỹ Đầu tư Phát triển (*),-,5.596.320.305.105,-,(5.596.320.305.105),-,-,,5596320305105.0,,-5596320305105.0,,
Chia cổ tức (*),Chia cổ tức (*),Chia cổ tức (*),-,-,-,(930.149.884.800),(2.014.971.000),(932.164.855.800),,,,-930149884800.0,-2014971000.0,-932164855800.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,31.004.996.160.000,5.598.760.740.080,106.709.914,14.651.541.651.825,(65.058.389.759),51.190.346.872.060,31004996160000.0,5598760740080.0,106709914.0,14651541651825.0,-65058389759.0,51190346872060.0
