row_label_raw,row_label_full,col_0,Nhà xưởngvà vật kiến trúc,Máy mócvà thiết bị,"Phương tiện vận tải,thiết bị truyền dẫn",Thiết bịvăn phòng,Tài sản cố địnhhửu hình khác,Tổng,numeric__Nhà xưởngvà vật kiến trúc,numeric__Máy mócvà thiết bị,"numeric__Phương tiện vận tải,thiết bị truyền dẫn",numeric__Thiết bịvăn phòng,numeric__Tài sản cố địnhhửu hình khác,numeric__Tổng
,,,VND,VND,VND,VND,VND,VND,,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,6.947.772.059.515,39.323.367.058.203,200.993.026.137,567.165.706.835,406.645.128.413,47.445.942.979.103,6947772059515.0,39323367058203.0,200993026137.0,567165706835.0,406645128413.0,47445942979103.0
Mua trong năm,NGUYÊN GIÁ > Mua trong năm,Mua trong năm,1.953.689.682,102.301.840.314,155.000.000,172.595.000,-,104.583.124.996,1953689682.0,102301840314.0,155000000.0,172595000.0,,104583124996.0
Đầu tư xây dựng cơ bảnhoàn thành,NGUYÊN GIÁ > Đầu tư xây dựng cơ bảnhoàn thành,Đầu tư xây dựng cơ bảnhoàn thành,-,-,-,1.234.000.000,-,1.234.000.000,,,,1234000000.0,,1234000000.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(856.835.360),-,-,-,(856.835.360),,-856835360.0,,,,-856835360.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,6.949.725.749.197,39.424.812.063.157,201.148.026.137,568.572.301.835,406.645.128.413,47.550.903.268.739,6949725749197.0,39424812063157.0,201148026137.0,568572301835.0,406645128413.0,47550903268739.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,3.314.821.693.467,23.455.509.290.118,136.031.343.621,492.250.325.362,129.262.676.902,27.527.875.329.470,3314821693467.0,23455509290118.0,136031343621.0,492250325362.0,129262676902.0,27527875329470.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,220.611.423.753,1.894.129.575.554,12.985.683.237,(5.459.736.597),16.256.218.401,2.138.523.164.348,220611423753.0,1894129575554.0,12985683237.0,-5459736597.0,16256218401.0,2138523164348.0
Tăng khác,GIÁ TRỊ HAO MÒN LỦY KẾ > Tăng khác,Tăng khác,7.457.032,59.401.416,-,134.901.332,-,201.759.780,7457032.0,59401416.0,,134901332.0,,201759780.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(856.835.360),-,-,-,(856.835.360),,-856835360.0,,,,-856835360.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,3.535.440.574.252,25.348.841.431.728,149.017.026.858,486.925.490.097,145.518.895.303,29.665.743.418.238,3535440574252.0,25348841431728.0,149017026858.0,486925490097.0,145518895303.0,29665743418238.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,3.632.950.366.048,15.867.857.768.085,64.961.682.516,74.915.381.473,277.382.451.511,19.918.067.649.633,3632950366048.0,15867857768085.0,64961682516.0,74915381473.0,277382451511.0,19918067649633.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,3.414.285.174.945,14.075.970.631.429,52.130.999.279,81.646.811.738,261.126.233.110,17.885.159.850.501,3414285174945.0,14075970631429.0,52130999279.0,81646811738.0,261126233110.0,17885159850501.0
