row_label_raw,row_label_full,"Lợi nhuận trong năm phân bổ cho các cổ đông sở hữu cổ phiếu phổ thông (VND) > Trừ: Số tiền trích Quỹ khen thưởng, phúc lợi (VND) (*)",Năm nay > 14.725.833.852.993 > -,Năm trước (Trình bày lại) > 6.715.504.313.658 > 286.967.993.685,numeric__Năm nay > 14.725.833.852.993 > -,numeric__Năm trước (Trình bày lại) > 6.715.504.313.658 > 286.967.993.685
Lợi nhuận để tính lãi cơ bản trên cổ phiếu (VND),Lợi nhuận để tính lãi cơ bản trên cổ phiếu (VND),Lợi nhuận để tính lãi cơ bản trên cổ phiếu (VND),14.725.833.852.993,6.428.536.319.973,14725833852993.0,6428536319973.0
Số bình quân gia quyền của cổ phiếu phổ thông để tính lãi cơ bản trên cổ phiếu (cổ phiếu),Số bình quân gia quyền của cổ phiếu phổ thông để tính lãi cơ bản trên cổ phiếu (cổ phiếu),Số bình quân gia quyền của cổ phiếu phổ thông để tính lãi cơ bản trên cổ phiếu (cổ phiếu),3.100.499.616,3.100.499.616,3100499616.0,3100499616.0
Lãi cơ bản trên cổ phiếu (VND/cổ phiếu),Lãi cơ bản trên cổ phiếu (VND/cổ phiếu),Lãi cơ bản trên cổ phiếu (VND/cổ phiếu),4.750,2.073,4750.0,2073.0
