row_label_raw,row_label_full,CHỈ TIÊU,CHỈ TIÊU_1,Mã số,Thuyết minh,Năm nay,Năm trước,numeric__CHỈ TIÊU_1,numeric__Mã số,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước
1.,1.,1.,Doanh thu bán hàng và cung cấp dịch vụ,01,VI.1,19.904.670.599,24.077.219.646,,1.0,,19904670599.0,24077219646.0
2.,2.,2.,Các khoản giảm trừ doanh thu,02,,-,-,,2.0,,,
3.,3.,3.,Doanh thu thuần về bán hàng và cung cấp dịch vụ,10,,19.904.670.599,24.077.219.646,,10.0,,19904670599.0,24077219646.0
4.,4.,4.,Giá vốn hàng bán,11,VI.2,12.069.063.957,14.945.287.023,,11.0,,12069063957.0,14945287023.0
5.,5.,5.,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,20,,7.835.606.642,9.131.932.623,,20.0,,7835606642.0,9131932623.0
6.,6.,6.,Doanh thu hoạt động tài chính,21,VI.3,89.148.607.028,99.750.915.635,,21.0,,89148607028.0,99750915635.0
7.,7.,7.,Chi phí tài chính,22,VI.4,(23.893.803.184),167.016.758.985,,22.0,,-23893803184.0,167016758985.0
7.,7.,7.,Trong đó: chi phí lãi vay,23,,13.908.965.689,26.458.003.132,,23.0,,13908965689.0,26458003132.0
8.,8.,8.,Chi phí bán hàng,25,,-,-,,25.0,,,
9.,9.,9.,Chi phí quản lý doanh nghiệp,26,VI.5,35.997.899.072,32.469.687.788,,26.0,,35997899072.0,32469687788.0
10.,10.,10.,Lợi nhuận thuần từ hoạt động kinh doanh,30,,84.880.117.782,(90.603.598.515),,30.0,,84880117782.0,-90603598515.0
11.,11.,11.,Thu nhập khác,31,,311.010.715,277.052.532,,31.0,,311010715.0,277052532.0
12.,12.,12.,Chi phí khác,32,,242.687.006,597.812.873,,32.0,,242687006.0,597812873.0
13.,13.,13.,Lợi nhuận khác,40,,68.323.709,(320.760.341),,40.0,,68323709.0,-320760341.0
14.,14.,14.,Tổng lợi nhuận kế toán trước thuế,50,,84.948.441.491,(90.924.358.856),,50.0,,84948441491.0,-90924358856.0
15.,15.,15.,Chi phí thuế thu nhập doanh nghiệp hiện hành,51,V.9,9.523.184.038,10.963.896.257,,51.0,,9523184038.0,10963896257.0
16.,16.,16.,Chi phí thuế thu nhập doanh nghiệp hoãn lại,52,,-,-,,52.0,,,
17.,17.,17.,Lợi nhuận sau thuế thu nhập doanh nghiệp,60,,75.425.257.453,(101.888.255.113),,60.0,,75425257453.0,-101888255113.0
