row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm máy tính,Cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm máy tính,numeric__Cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,9.412.672.825,2.689.466.000,12.102.138.825,9412672825.0,2689466000.0,12102138825.0
Đầu tư mới trong năm,Nguyên giá > Đầu tư mới trong năm,Đầu tư mới trong năm,,1.174.700.000,1.174.700.000,,1174700000.0,1174700000.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,9.412.672.825,3.864.166.000,13.276.838.825,9412672825.0,3864166000.0,13276838825.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,
Đã khấu hao hết nhưng vẫn còn sử dụng,Trong đó: > Đã khấu hao hết nhưng vẫn còn sử dụng,Đã khấu hao hết nhưng vẫn còn sử dụng,-,120.000.000,120.000.000,,120000000.0,120000000.0
Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,,,
Số đầu năm,Giá trị hao mòn > Số đầu năm,Số đầu năm,-,122.762.867,122.762.867,,122762867.0,122762867.0
Khấu hao trong năm,Giá trị hao mòn > Khấu hao trong năm,Khấu hao trong năm,-,400.501.826,400.501.826,,400501826.0,400501826.0
Số cuối năm,Giá trị hao mòn > Số cuối năm,Số cuối năm,-,523.264.693,523.264.693,,523264693.0,523264693.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,9.412.672.825,2.566.703.133,11.979.375.958,9412672825.0,2566703133.0,11979375958.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,9.412.672.825,3.340.901.307,12.753.574.132,9412672825.0,3340901307.0,12753574132.0
Tạm thời chưa sử dụng,Tạm thời chưa sử dụng,Tạm thời chưa sử dụng,-,-,-,,,
Đang chờ thanh lý,Đang chờ thanh lý,Đang chờ thanh lý,-,-,-,,,
