row_label_raw,row_label_full,Trả trước của các bên liên quan (xem thuyết minh VII.1d),Số cuối năm > 903.440.515,Số đầu năm > -,numeric__Số cuối năm > 903.440.515,numeric__Số đầu năm > -
Trả trước của các khách hàng khác,Trả trước của các khách hàng khác,Trả trước của các khách hàng khác,248.402.295,237.985.301,248402295.0,237985301.0
Cộng,Cộng,Cộng,1.151.842.810,237.985.301,1151842810.0,237985301.0
