row_label_raw,row_label_full,Phải thu khách hàng (Thuyết minh V.3),Số cuối năm > 12.748.215.762,Số đầu năm > 9.629.494.887,numeric__Số cuối năm > 12.748.215.762,numeric__Số đầu năm > 9.629.494.887
Công ty Cổ phần Dược Phẩm Cửu Long,Công ty Cổ phần Dược Phẩm Cửu Long,Công ty Cổ phần Dược Phẩm Cửu Long,9.485.212.026,6.846.219.492,9485212026.0,6846219492.0
Công ty Cổ phần FIT Cosmetics,Công ty Cổ phần FIT Cosmetics,Công ty Cổ phần FIT Cosmetics,551.350.800,-,551350800.0,
Công ty Cổ phần Dược phẩm Benovas,Công ty Cổ phần Dược phẩm Benovas,Công ty Cổ phần Dược phẩm Benovas,1.806.881.028,-,1806881028.0,
Công ty Cổ phần Chế biến Thực phẩm Xuất khẩu Miền Tây,Công ty Cổ phần Chế biến Thực phẩm Xuất khẩu Miền Tây,Công ty Cổ phần Chế biến Thực phẩm Xuất khẩu Miền Tây,1.331.494,-,1331494.0,
Công ty Cổ phần Nước khoáng Khánh Hòa,Công ty Cổ phần Nước khoáng Khánh Hòa,Công ty Cổ phần Nước khoáng Khánh Hòa,903.440.414,2.782.308.273,903440414.0,2782308273.0
Công ty Cổ phần Đầu tư JJK Holdings,Công ty Cổ phần Đầu tư JJK Holdings,Công ty Cổ phần Đầu tư JJK Holdings,-,967.122,,967122.0
Phải thu gốc hợp tác đầu tư\( ^{(i)} \) (Thuyết minh V.4),Phải thu gốc hợp tác đầu tư\( ^{(i)} \) (Thuyết minh V.4),Phải thu gốc hợp tác đầu tư\( ^{(i)} \) (Thuyết minh V.4),467.950.000.000,22.361.000.000,467950000000.0,22361000000.0
Công ty Cổ phần Đầu tư Bất động sản F.I.T,Công ty Cổ phần Đầu tư Bất động sản F.I.T,Công ty Cổ phần Đầu tư Bất động sản F.I.T,104.750.000.000,22.000.000.000,104750000000.0,22000000000.0
Công ty TNHH Xuất nhập khẩu và Thương mại F.I.T Việt Nam,Công ty TNHH Xuất nhập khẩu và Thương mại F.I.T Việt Nam,Công ty TNHH Xuất nhập khẩu và Thương mại F.I.T Việt Nam,363.200.000.000,361.000.000,363200000000.0,361000000.0
Phải thu lợi nhuận hợp tác đầu tư\( ^{(i)} \) (Thuyết minh V.4),Phải thu lợi nhuận hợp tác đầu tư\( ^{(i)} \) (Thuyết minh V.4),Phải thu lợi nhuận hợp tác đầu tư\( ^{(i)} \) (Thuyết minh V.4),12.731.311.502,7.223.946.296,12731311502.0,7223946296.0
Công ty Cổ phần Đầu tư Bất động sản F.I.T,Công ty Cổ phần Đầu tư Bất động sản F.I.T,Công ty Cổ phần Đầu tư Bất động sản F.I.T,10.959.780.815,7.015.945.200,10959780815.0,7015945200.0
Công ty TNHH Xuất nhập khẩu và Thương mại F.I.T Việt Nam,Công ty TNHH Xuất nhập khẩu và Thương mại F.I.T Việt Nam,Công ty TNHH Xuất nhập khẩu và Thương mại F.I.T Việt Nam,1.771.530.687,208.001.096,1771530687.0,208001096.0
Phải thu các khoản chi hộ (Thuyết minh V.4),Phải thu các khoản chi hộ (Thuyết minh V.4),Phải thu các khoản chi hộ (Thuyết minh V.4),1.341.904.963,1.735.952.095,1341904963.0,1735952095.0
Công ty Cổ phần Dược phẩm Cửu Long,Công ty Cổ phần Dược phẩm Cửu Long,Công ty Cổ phần Dược phẩm Cửu Long,1.088.504.119,1.168.917.407,1088504119.0,1168917407.0
Công ty Cổ phần FIT Cosmetics,Công ty Cổ phần FIT Cosmetics,Công ty Cổ phần FIT Cosmetics,253.400.844,243.880.844,253400844.0,243880844.0
Công ty Cổ phần Nước khoáng Khánh Hòa,Công ty Cổ phần Nước khoáng Khánh Hòa,Công ty Cổ phần Nước khoáng Khánh Hòa,-,323.153.843,,323153843.0
Người mua trả tiền trước (Thuyết minh V.8),Người mua trả tiền trước (Thuyết minh V.8),Người mua trả tiền trước (Thuyết minh V.8),903.440.515,-,903440515.0,
Công ty Cổ phần Vật tư Kỹ thuật Nông nghiệp Cần Thơ,Công ty Cổ phần Vật tư Kỹ thuật Nông nghiệp Cần Thơ,Công ty Cổ phần Vật tư Kỹ thuật Nông nghiệp Cần Thơ,903.440.515,-,903440515.0,
