row_label_raw,row_label_full,CHỈ TIÊU,CHỈ TIÊU_1,Mã,Thuyếtminh,Năm nay,Năm trước,numeric__CHỈ TIÊU_1,numeric__Mã,numeric__Thuyếtminh,numeric__Năm nay,numeric__Năm trước
I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,,
1. Lợi nhuận trước thuế,I. Lưu chuyển tiền từ hoạt động kinh doanh > 1. Lợi nhuận trước thuế,1. Lợi nhuận trước thuế,1. Lợi nhuận trước thuế,01,,84.948.441.491,(90.924.358.856),,1.0,,84948441491.0,-90924358856.0
2. Điều chỉnh cho các khoản:,2. Điều chỉnh cho các khoản:,2. Điều chỉnh cho các khoản:,2. Điều chỉnh cho các khoản:,2. Điều chỉnh cho các khoản:,2. Điều chỉnh cho các khoản:,2. Điều chỉnh cho các khoản:,2. Điều chỉnh cho các khoản:,,,,,
-,2. Điều chỉnh cho các khoản: > -,-,Khấu hao tài sản cố định và bắt động sản đầu tư,02,VI.7,3.163.334.941,2.994.029.054,,2.0,,3163334941.0,2994029054.0
-,2. Điều chỉnh cho các khoản: > -,-,Các khoản dự phòng,03,V.2c,(43.881.430.459),140.526.996.949,,3.0,,-43881430459.0,140526996949.0
-,2. Điều chỉnh cho các khoản: > -,-,"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",04,,-,-,,4.0,,,
-,2. Điều chỉnh cho các khoản: > -,-,"Lãi, lỗ từ hoạt động đầu tư",05,,(14.468.257.301),(40.990.659.148),,5.0,,-14468257301.0,-40990659148.0
-,2. Điều chỉnh cho các khoản: > -,-,Chi phí lãi vay,06,VI.4,13.908.965.689,26.458.003.132,,6.0,,13908965689.0,26458003132.0
-,2. Điều chỉnh cho các khoản: > -,-,Các khoản điều chỉnh khác,07,,-,-,,7.0,,,
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,2. Điều chỉnh cho các khoản: > 3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,,43.671.054.361,38.064.011.131,,8.0,,43671054361.0,38064011131.0
-,2. Điều chỉnh cho các khoản: > -,-,"Tăng, giảm các khoản phải thu",09,,(349.405.910.918),305.068.248.441,,9.0,,-349405910918.0,305068248441.0
-,2. Điều chỉnh cho các khoản: > -,-,"Tăng, giảm hàng tồn kho",10,,-,-,,10.0,,,
-,2. Điều chỉnh cho các khoản: > -,-,"Tăng, giảm các khoản phải trả",11,,(388.617.496),(329.568.913),,11.0,,-388617496.0,-329568913.0
