row_label_raw,row_label_full,Tên công ty,Địa chỉ trụ sở chính,Hoạt động kinh doanh chính,Tỷ lệ lợi ích,Tỷ lệ quyền biểu quyết,Tỷ lệ lợi ích_1,Tỷ lệ quyền biểu quyết_1,numeric__Địa chỉ trụ sở chính,numeric__Hoạt động kinh doanh chính,numeric__Tỷ lệ lợi ích,numeric__Tỷ lệ quyền biểu quyết,numeric__Tỷ lệ lợi ích_1,numeric__Tỷ lệ quyền biểu quyết_1
Công ty con của Công ty Cổ phần Chế biến Thực phẩm xuất khẩu Miền Tây,Công ty con của Công ty Cổ phần Chế biến Thực phẩm xuất khẩu Miền Tây,Công ty con của Công ty Cổ phần Chế biến Thực phẩm xuất khẩu Miền Tây,Công ty con của Công ty Cổ phần Chế biến Thực phẩm xuất khẩu Miền Tây,Công ty con của Công ty Cổ phần Chế biến Thực phẩm xuất khẩu Miền Tây,Công ty con của Công ty Cổ phần Chế biến Thực phẩm xuất khẩu Miền Tây,Công ty con của Công ty Cổ phần Chế biến Thực phẩm xuất khẩu Miền Tây,Công ty con của Công ty Cổ phần Chế biến Thực phẩm xuất khẩu Miền Tây,Công ty con của Công ty Cổ phần Chế biến Thực phẩm xuất khẩu Miền Tây,,,,,,
Công ty Cổ phầnWestfood Hậu Giang,Công ty con của Công ty Cổ phần Chế biến Thực phẩm xuất khẩu Miền Tây > Công ty Cổ phầnWestfood Hậu Giang,Công ty Cổ phầnWestfood Hậu Giang,"KCN Sông Hậu – Giai đoạn 1, xã Đông Phú, huyện Châu Thành, tỉnh Hậu Giang",Chế biến nông sản,"18,38%","99,47%","18,11%","98,00%",,,0.1838,0.9947,0.18109999999999998,0.98
Công ty con của Công ty Cổ phần FIT Consumer,Công ty con của Công ty Cổ phần FIT Consumer,Công ty con của Công ty Cổ phần FIT Consumer,Công ty con của Công ty Cổ phần FIT Consumer,Công ty con của Công ty Cổ phần FIT Consumer,Công ty con của Công ty Cổ phần FIT Consumer,Công ty con của Công ty Cổ phần FIT Consumer,Công ty con của Công ty Cổ phần FIT Consumer,Công ty con của Công ty Cổ phần FIT Consumer,,,,,,
Công ty Cổ phầnNước khoáng Khánh Hòa (“Vikoda”),Công ty con của Công ty Cổ phần FIT Consumer > Công ty Cổ phầnNước khoáng Khánh Hòa (“Vikoda”),Công ty Cổ phầnNước khoáng Khánh Hòa (“Vikoda”),"Xã Diên Tân, huyện Diên Khánh, tỉnh Khánh Hòa","Sản xuất nước khoáng và các sản phẩm từ nước khoáng, kinh doanh dịch vụ","44,27%","95,53%","46,59%","95,53%",,,0.44270000000000004,0.9553,0.46590000000000004,0.9553
