row_label_raw,row_label_full,Phải thu các bên liên quan (Xem thuyết minh VII.1d),Số cuối năm > 12.748.215.762,Số đầu năm > 9.629.494.887,numeric__Số cuối năm > 12.748.215.762,numeric__Số đầu năm > 9.629.494.887
Phải thu các khách hàng khác,Phải thu các khách hàng khác,Phải thu các khách hàng khác,8.172.042,14.946.329,8172042.0,14946329.0
Cộng,Cộng,Cộng,12.756.387.804,9.644.441.216,12756387804.0,9644441216.0
