row_label_raw,row_label_full,col_0,Mã số,Số liệu trước điều chỉnh,Các điều chỉnh,Số liệu sau điều chỉnh,Ghi chú,numeric__Mã số,numeric__Số liệu trước điều chỉnh,numeric__Các điều chỉnh,numeric__Số liệu sau điều chỉnh,numeric__Ghi chú
Băng cân đối kế toán,Băng cân đối kế toán,Băng cân đối kế toán,Băng cân đối kế toán,Băng cân đối kế toán,Băng cân đối kế toán,Băng cân đối kế toán,Băng cân đối kế toán,,,,,
Dự phòng giảm giá đầu tư tài chính dài hạn,Băng cân đối kế toán > Dự phòng giảm giá đầu tư tài chính dài hạn,Dự phòng giảm giá đầu tư tài chính dài hạn,254,(145.137.346.695),(10.492.874.967),(155.630.221.662),(ii),254.0,-145137346695.0,-10492874967.0,-155630221662.0,
Thuế và các khoản phải nộp Nhà nước,Băng cân đối kế toán > Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,313,582.396.690,12.208.427.367,12.790.824.057,(i),313.0,582396690.0,12208427367.0,12790824057.0,
Lợi nhuận sau thuế chưa phân phối,Băng cân đối kế toán > Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,421,86.396.298.551,(22.701.302.334),63.694.996.217,"(i),(ii)",421.0,86396298551.0,-22701302334.0,63694996217.0,
Báo cáo kết quả hoạt động kinh doanh,Báo cáo kết quả hoạt động kinh doanh,Báo cáo kết quả hoạt động kinh doanh,Báo cáo kết quả hoạt động kinh doanh,Báo cáo kết quả hoạt động kinh doanh,Báo cáo kết quả hoạt động kinh doanh,Báo cáo kết quả hoạt động kinh doanh,Báo cáo kết quả hoạt động kinh doanh,,,,,
Chi phí tài chính,Báo cáo kết quả hoạt động kinh doanh > Chi phí tài chính,Chi phí tài chính,22,156.523.884.018,10.492.874.967,167.016.758.985,(ii),22.0,156523884018.0,10492874967.0,167016758985.0,
Chi phí khác,Báo cáo kết quả hoạt động kinh doanh > Chi phí khác,Chi phí khác,32,466.720.002,131.092.871,597.812.873,(i),32.0,466720002.0,131092871.0,597812873.0,
Chi phí thuế TNDN hiện hành,Báo cáo kết quả hoạt động kinh doanh > Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,51,184.102.768,10.779.793.489,10.963.896.257,(i),51.0,184102768.0,10779793489.0,10963896257.0,
Lợi nhuận sau thuế TNDN,Báo cáo kết quả hoạt động kinh doanh > Lợi nhuận sau thuế TNDN,Lợi nhuận sau thuế TNDN,60,(80.484.493.786),(21.403.761.327),(101.888.255.113),"(i), (ii)",60.0,-80484493786.0,-21403761327.0,-101888255113.0,
Báo cáo lưu chuyển tiền tệ,Báo cáo lưu chuyển tiền tệ,Báo cáo lưu chuyển tiền tệ,Báo cáo lưu chuyển tiền tệ,Báo cáo lưu chuyển tiền tệ,Báo cáo lưu chuyển tiền tệ,Báo cáo lưu chuyển tiền tệ,Báo cáo lưu chuyển tiền tệ,,,,,
Lợi nhuận trước thuế,Báo cáo lưu chuyển tiền tệ > Lợi nhuận trước thuế,Lợi nhuận trước thuế,01,(80.300.391.018),(10.623.967.838),(90.924.358.856),"(i), (ii)",1.0,-80300391018.0,-10623967838.0,-90924358856.0,
Các khoản dự phòng,Báo cáo lưu chuyển tiền tệ > Các khoản dự phòng,Các khoản dự phòng,03,130.034.121.982,10.492.874.967,140.526.996.949,(ii),3.0,130034121982.0,10492874967.0,140526996949.0,
"Tăng, giảm các khoản phải trả","Báo cáo lưu chuyển tiền tệ > Tăng, giảm các khoản phải trả","Tăng, giảm các khoản phải trả",11,(460.661.784),131.092.871,(329.568.913),(i),11.0,-460661784.0,131092871.0,-329568913.0,
