row_label_raw,row_label_full,Số cuối năm,Miền Bắc > Số cuối năm,Miền Nam > Số cuối năm,Loại trừ > Số cuối năm,Tổng cộng > Số cuối năm,numeric__Miền Bắc > Số cuối năm,numeric__Miền Nam > Số cuối năm,numeric__Loại trừ > Số cuối năm,numeric__Tổng cộng > Số cuối năm
Tài sản bộ phận,Tài sản bộ phận,Tài sản bộ phận,5.898.664.763.141,5.981.199.889.563,(3.853.159.851.497),8.026.704.801.207,5898664763141.0,5981199889563.0,-3853159851497.0,8026704801207.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,,,,8.026.704.801.207,,,,8026704801207.0
Nợ phải trả bộ phận,Nợ phải trả bộ phận,Nợ phải trả bộ phận,987.525.229.217,1.959.611.990.980,(957.940.794.416),1.989.196.425.781,987525229217.0,1959611990980.0,-957940794416.0,1989196425781.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,,,,1.989.196.425.781,,,,1989196425781.0
Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,,,,
Tài sản bộ phận,Số đầu năm > Tài sản bộ phận,Tài sản bộ phận,6.012.840.645.515,5.364.241.252.417,(3.629.273.885.042),7.747.808.012.890,6012840645515.0,5364241252417.0,-3629273885042.0,7747808012890.0
Tổng tài sản,Số đầu năm > Tổng tài sản,Tổng tài sản,,,,7.747.808.012.890,,,,7747808012890.0
Nợ phải trả bộ phận,Số đầu năm > Nợ phải trả bộ phận,Nợ phải trả bộ phận,1.158.917.474.799,1.397.617.291.440,(749.601.801.753),1.806.932.964.486,1158917474799.0,1397617291440.0,-749601801753.0,1806932964486.0
Tổng nợ phải trả,Số đầu năm > Tổng nợ phải trả,Tổng nợ phải trả,,,,1.806.932.964.486,,,,1806932964486.0
