row_label_raw,row_label_full,Số đầu năm > Trích lập dự phòng trong năm,Năm nay > 68.095.397.419 > 4.210.636.298,Năm trước > 68.938.779.131 > 111.720.207,numeric__Năm nay > 68.095.397.419 > 4.210.636.298,numeric__Năm trước > 68.938.779.131 > 111.720.207
Sử dụng dự phòng để xóa nợ,Sử dụng dự phòng để xóa nợ,Sử dụng dự phòng để xóa nợ,-,(955.101.919),,-955101919.0
Số cuối năm,Số cuối năm,Số cuối năm,72.306.033.717,68.095.397.419,72306033717.0,68095397419.0
