row_label_raw,row_label_full,col_0,Năm nay,Năm trước,numeric__Năm nay,numeric__Năm trước
Doanh thu cung cấp dịch vụ cho bên liên quan:,Doanh thu cung cấp dịch vụ cho bên liên quan:,Doanh thu cung cấp dịch vụ cho bên liên quan:,Doanh thu cung cấp dịch vụ cho bên liên quan:,Doanh thu cung cấp dịch vụ cho bên liên quan:,,
Công ty Cổ phần FIT Cosmetics,Doanh thu cung cấp dịch vụ cho bên liên quan: > Công ty Cổ phần FIT Cosmetics,Công ty Cổ phần FIT Cosmetics,360.823.000,501.228.000,360823000.0,501228000.0
Công ty Cổ phần Đầu tư JJK Holdings,Doanh thu cung cấp dịch vụ cho bên liên quan: > Công ty Cổ phần Đầu tư JJK Holdings,Công ty Cổ phần Đầu tư JJK Holdings,182.987.890,182.922.815,182987890.0,182922815.0
"Mua hàng hóa, dịch vụ từ bên liên quan:","Mua hàng hóa, dịch vụ từ bên liên quan:","Mua hàng hóa, dịch vụ từ bên liên quan:","Mua hàng hóa, dịch vụ từ bên liên quan:","Mua hàng hóa, dịch vụ từ bên liên quan:",,
Công ty Cổ phần FIT Cosmetics,"Mua hàng hóa, dịch vụ từ bên liên quan: > Công ty Cổ phần FIT Cosmetics",Công ty Cổ phần FIT Cosmetics,145.709.861,332.268.678,145709861.0,332268678.0
Lợi nhuận từ hợp tác đầu tư với bên liên quan:,Lợi nhuận từ hợp tác đầu tư với bên liên quan:,Lợi nhuận từ hợp tác đầu tư với bên liên quan:,Lợi nhuận từ hợp tác đầu tư với bên liên quan:,Lợi nhuận từ hợp tác đầu tư với bên liên quan:,,
Công ty Cổ phần FIT Cosmetics,Lợi nhuận từ hợp tác đầu tư với bên liên quan: > Công ty Cổ phần FIT Cosmetics,Công ty Cổ phần FIT Cosmetics,140.547.945,571.561.644,140547945.0,571561644.0
Công ty Cổ phần Đầu tư Tây Đô Cửu Long,Lợi nhuận từ hợp tác đầu tư với bên liên quan: > Công ty Cổ phần Đầu tư Tây Đô Cửu Long,Công ty Cổ phần Đầu tư Tây Đô Cửu Long,2.511.054.027,-,2511054027.0,
Công ty Cổ phần Today Cosmetics,Lợi nhuận từ hợp tác đầu tư với bên liên quan: > Công ty Cổ phần Today Cosmetics,Công ty Cổ phần Today Cosmetics,726.762.327,3.904.815.199,726762327.0,3904815199.0
Ông Lê Việt Cường - Kế toán trường,Lợi nhuận từ hợp tác đầu tư với bên liên quan: > Ông Lê Việt Cường - Kế toán trường,Ông Lê Việt Cường - Kế toán trường,101.643.836,-,101643836.0,
