row_label_raw,row_label_full,NGUỒN VỐN,NGUỒN VỐN_1,Mã số,Thuyết minh,Số cuối năm,Số đầu năm,numeric__NGUỒN VỐN_1,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
D - NGUỒN VỐN CHỦ SỞ HỮU,D - NGUỒN VỐN CHỦ SỞ HỮU,D - NGUỒN VỐN CHỦ SỞ HỮU,D - NGUỒN VỐN CHỦ SỞ HỮU,400,,6.037.508.375.426,5.940.875.048.404,,400.0,,6037508375426.0,5940875048404.0
I.,I.,I.,Vốn chủ sở hữu,410,V.25,6.037.508.375.426,5.940.875.048.404,,410.0,,6037508375426.0,5940875048404.0
1.,1.,1.,Vốn góp của chủ sở hữu,411,,3.399.330.340.000,3.399.330.340.000,,411.0,,3399330340000.0,3399330340000.0
-,-,-,Cổ phiếu phổ thông có quyền biểu quyết,411a,,3.399.330.340.000,3.399.330.340.000,,,,3399330340000.0,3399330340000.0
-,-,-,Cổ phiếu ưu đãi,411b,,-,-,,,,,
2.,- > 2.,2.,Thặng dư vốn cổ phần,412,,74.895.139.513,74.895.139.513,,412.0,,74895139513.0,74895139513.0
3.,- > 3.,3.,Quyền chọn chuyển đổi trái phiếu,413,,-,-,,413.0,,,
4.,- > 4.,4.,Vốn khác của chủ sở hữu,414,,80.481.887.391,80.481.887.391,,414.0,,80481887391.0,80481887391.0
5.,- > 5.,5.,Cổ phiếu quỹ,415,,-,-,,415.0,,,
6.,- > 6.,6.,Chênh lệch đánh giá lại tài sản,416,,-,-,,416.0,,,
7.,- > 7.,7.,Chênh lệch tỷ giá hối đoái,417,,-,-,,417.0,,,
8.,- > 8.,8.,Quỹ đầu tư phát triển,418,,1.160.957.903,1.160.957.903,,418.0,,1160957903.0,1160957903.0
9.,- > 9.,9.,Quỹ hỗ trợ sắp xếp doanh nghiệp,419,,-,-,,419.0,,,
10.,- > 10.,10.,Quỹ khác thuộc vốn chủ sở hữu,420,,-,-,,420.0,,,
11.,- > 11.,11.,Lợi nhuận sau thuế chưa phân phối,421,,317.010.777.599,278.532.985.676,,421.0,,317010777599.0,278532985676.0
-,- > -,-,LNST chưa phân phối lũy kế đến cuối kỳ trước,421a,,277.026.986.991,159.269.404.327,,,,277026986991.0,159269404327.0
-,- > -,-,LNST chưa phân phối kỳ này,421b,,39.983.790.608,119.263.581.349,,,,39983790608.0,119263581349.0
12.,- > 12.,12.,Nguồn vốn đầu tư xây dựng cơ bản,422,,-,-,,422.0,,,
13.,- > 13.,13.,Lợi ích cổ đông không kiểm soát,429,,2.164.629.273.020,2.106.473.737.921,,429.0,,2164629273020.0,2106473737921.0
II.,- > II.,II.,Nguồn kinh phí và quỹ khác,430,,-,-,,430.0,,,
1.,- > 1.,1.,Nguồn kinh phí,431,,-,-,,431.0,,,
2.,- > 2.,2.,Nguồn kinh phí đã hình thành tài sản cố định,432,,-,-,,432.0,,,
,,,TỔNG CỘNG NGUỒN VỐN,440,,8.026.704.801.207,7.747.808.012.890,,440.0,,8026704801207.0,7747808012890.0
