row_label_raw,row_label_full,CHỈ TIÊU,CHỈ TIÊU_1,Mã số,Thuyết minh,Năm nay,Đơn vị tính: VND > Năm trước,numeric__CHỈ TIÊU_1,numeric__Mã số,numeric__Thuyết minh,numeric__Năm nay,numeric__Đơn vị tính: VND > Năm trước
1.,1.,1.,Doanh thu bán hàng và cung cấp dịch vụ,01,VI.1,2.109.119.546.091,1.984.757.327.393,,1.0,,2109119546091.0,1984757327393.0
2.,2.,2.,Các khoản giảm trừ doanh thu,02,VI.2,35.931.745.725,31.099.252.252,,2.0,,35931745725.0,31099252252.0
3.,3.,3.,Doanh thu thuần về bán hàng và cung cấp dịch vụ,10,,2.073.187.800.366,1.953.658.075.141,,10.0,,2073187800366.0,1953658075141.0
4.,4.,4.,Giá vốn hàng bán,11,VI.3,1.686.378.976.556,1.560.804.580.933,,11.0,,1686378976556.0,1560804580933.0
5.,5.,5.,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,20,,386.808.823.810,392.853.494.208,,20.0,,386808823810.0,392853494208.0
6.,6.,6.,Doanh thu hoạt động tài chính,21,VI.4,195.653.616.012,249.647.745.886,,21.0,,195653616012.0,249647745886.0
7.,7.,7.,Chi phí tài chính,22,VI.5,98.143.050.366,55.098.285.958,,22.0,,98143050366.0,55098285958.0
7.,7.,7.,Trong đó: chi phí lãi vay,23,,92.748.702.881,50.280.915.507,,23.0,,92748702881.0,50280915507.0
8.,8.,8.,"Phần lãi hoặc lỗ trong công ty liên doanh, liên kết",24,,(5.379.496.824),(9.050.259.506),,24.0,,-5379496824.0,-9050259506.0
9.,9.,9.,Chi phí bán hàng,25,VI.6,145.167.314.181,144.779.686.091,,25.0,,145167314181.0,144779686091.0
10.,10.,10.,Chi phí quản lý doanh nghiệp,26,VI.7,216.300.447.621,208.773.148.649,,26.0,,216300447621.0,208773148649.0
11.,11.,11.,Lợi nhuận thuần từ hoạt động kinh doanh,30,,117.472.130.830,224.799.859.890,,30.0,,117472130830.0,224799859890.0
12.,12.,12.,Thu nhập khác,31,VI.8,5.807.476.613,4.084.038.973,,31.0,,5807476613.0,4084038973.0
13.,13.,13.,Chi phí khác,32,VI.9,19.432.499.347,1.192.775.811,,32.0,,19432499347.0,1192775811.0
14.,14.,14.,Lợi nhuận khác,40,,(13.625.022.734),2.891.263.162,,40.0,,-13625022734.0,2891263162.0
15.,15.,15.,Tổng lợi nhuận kế toán trước thuế,50,,103.847.108.096,227.691.123.052,,50.0,,103847108096.0,227691123052.0
16.,16.,16.,Chi phí thuế thu nhập doanh nghiệp hiện hành,51,,42.472.531.153,60.642.529.043,,51.0,,42472531153.0,60642529043.0
17.,17.,17.,Chi phí thuế thu nhập doanh nghiệp hoãn lại,52,,3.821.711.261,(9.454.708.944),,52.0,,3821711261.0,-9454708944.0
18.,18.,18.,Lợi nhuận sau thuế thu nhập doanh nghiệp,60,,57.552.865.682,176.503.302.953,,60.0,,57552865682.0,176503302953.0
19.,19.,19.,Lợi nhuận sau thuế của công ty mẹ,61,,39.983.790.608,119.263.581.349,,61.0,,39983790608.0,119263581349.0
20.,20.,20.,Lợi nhuận sau thuế của cổ đông không kiểm soát,62,,17.569.075.074,57.239.721.604,,62.0,,17569075074.0,57239721604.0
21.,21.,21.,Lãi cơ bản trên cổ phiếu,70,VI.10,118,351,,70.0,,118.0,351.0
22.,22.,22.,Lãi suy giảm trên cổ phiếu,71,VI.10,118,351,,71.0,,118.0,351.0
