row_label_raw,row_label_full,col_0,Quyềnsử dụng đất,"Nhà cửa,vật kiến trúc",Cộng,numeric__Quyềnsử dụng đất,"numeric__Nhà cửa,vật kiến trúc",numeric__Cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,71.280.104.730,50.892.328.692,122.172.433.422,71280104730.0,50892328692.0,122172433422.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,71.280.104.730,50.892.328.692,122.172.433.422,71280104730.0,50892328692.0,122172433422.0
Trong đó:Đã khấu hao hết nhưng vẩn còn sử dụng,Nguyên giá > Trong đó:Đã khấu hao hết nhưng vẩn còn sử dụng,Trong đó:Đã khấu hao hết nhưng vẩn còn sử dụng,-,6.187.542.786,6.187.542.786,,6187542786.0,6187542786.0
Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,,,
Số đầu năm,Giá trị hao mòn > Số đầu năm,Số đầu năm,-,15.383.737.237,15.383.737.237,,15383737237.0,15383737237.0
Khấu hao trong năm,Giá trị hao mòn > Khấu hao trong năm,Khấu hao trong năm,-,1.073.473.020,1.073.473.020,,1073473020.0,1073473020.0
Số cuối năm,Giá trị hao mòn > Số cuối năm,Số cuối năm,-,16.457.210.257,16.457.210.257,,16457210257.0,16457210257.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,71.280.104.730,35.508.591.455,106.788.696.185,71280104730.0,35508591455.0,106788696185.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,71.280.104.730,34.435.118.435,105.715.223.165,71280104730.0,34435118435.0,105715223165.0
