row_label_raw,row_label_full,col_0,Công ty Cổ phần FIT Comestics,Công ty Cổ phần Đầu tư Tây Đô Cửu Long,Cộng,numeric__Công ty Cổ phần FIT Comestics,numeric__Công ty Cổ phần Đầu tư Tây Đô Cửu Long,numeric__Cộng
Số đầu năm,Số đầu năm,Số đầu năm,290.401.798.492,-,290.401.798.492,290401798492.0,,290401798492.0
Giá trị khoản đầu tư thêm trong năm,Giá trị khoản đầu tư thêm trong năm,Giá trị khoản đầu tư thêm trong năm,-,1.430.000.000.000,1.430.000.000.000,,1430000000000.0,1430000000000.0
Phần lãi hoặc lỗ trong năm,Phần lãi hoặc lỗ trong năm,Phần lãi hoặc lỗ trong năm,(5.391.497.512),12.000.688,(5.379.496.824),-5391497512.0,12000688.0,-5379496824.0
Số cuối năm,Số cuối năm,Số cuối năm,285.010.300.980,1.430.012.000.688,1.715.022.301.668,285010300980.0,1430012000688.0,1715022301668.0
