row_label_raw,row_label_full,Phải trả các bên liên quan (Xem thuyết minh VIII.1),Số cuối năm > 3.284.176,Số đầu năm > -,numeric__Số cuối năm > 3.284.176,numeric__Số đầu năm > -
Phải trả các nhà cung cấp khác,Phải trả các nhà cung cấp khác,Phải trả các nhà cung cấp khác,113.829.473.236,108.239.994.256,113829473236.0,108239994256.0
"Lao TTL Agriculture And Industrial Development Sole Co., Ltd","Lao TTL Agriculture And Industrial Development Sole Co., Ltd","Lao TTL Agriculture And Industrial Development Sole Co., Ltd",7.487.111.450,7.252.651.350,7487111450.0,7252651350.0
Công ty TNHH Xử lý Chất thải Công nghiệp và Tư vấn Môi trường Văn Lang,Công ty TNHH Xử lý Chất thải Công nghiệp và Tư vấn Môi trường Văn Lang,Công ty TNHH Xử lý Chất thải Công nghiệp và Tư vấn Môi trường Văn Lang,-,9.871.959.411,,9871959411.0
Công ty TNHH Xây dựng và Thương mại Lê Gia Phúc,Công ty TNHH Xây dựng và Thương mại Lê Gia Phúc,Công ty TNHH Xây dựng và Thương mại Lê Gia Phúc,12.073.115.537,-,12073115537.0,
Công ty Cổ phần Đầu tư WW,Công ty Cổ phần Đầu tư WW,Công ty Cổ phần Đầu tư WW,3.450.593.586,14.870.635.468,3450593586.0,14870635468.0
Công ty Nectar Lifesciences - Án Độ,Công ty Nectar Lifesciences - Án Độ,Công ty Nectar Lifesciences - Án Độ,-,9.790.632.180,,9790632180.0
Công ty Cổ phần Đầu tư và Thương mại Phố Hiến Việt Nam,Công ty Cổ phần Đầu tư và Thương mại Phố Hiến Việt Nam,Công ty Cổ phần Đầu tư và Thương mại Phố Hiến Việt Nam,3.289.479.687,5.470.745.553,3289479687.0,5470745553.0
Pharmascience INC,Pharmascience INC,Pharmascience INC,5.982.700.838,4.429.061.442,5982700838.0,4429061442.0
"Shouguang Fukang Pharmaceutical Co., Ltd","Shouguang Fukang Pharmaceutical Co., Ltd","Shouguang Fukang Pharmaceutical Co., Ltd",-,3.285.858.600,,3285858600.0
Công ty Pb Gelatin,Công ty Pb Gelatin,Công ty Pb Gelatin,8.229.624.000,-,8229624000.0,
Công ty TNHH Larissa Pharma,Công ty TNHH Larissa Pharma,Công ty TNHH Larissa Pharma,6.671.818.125,-,6671818125.0,
Công ty Cổ phần Thương mại và Xây dựng Bạch Đằng Hải Phòng,Công ty Cổ phần Thương mại và Xây dựng Bạch Đằng Hải Phòng,Công ty Cổ phần Thương mại và Xây dựng Bạch Đằng Hải Phòng,-,3.328.001.511,,3328001511.0
Các nhà cung cấp khác,Các nhà cung cấp khác,Các nhà cung cấp khác,66.645.030.013,49.940.448.741,66645030013.0,49940448741.0
Cộng,Cộng,Cộng,113.832.757.412,108.239.994.256,113832757412.0,108239994256.0
