row_label_raw,row_label_full,Ngân hàng,Mục đích,Hạn mức,Thời hạn,Lãi suất/năm,Tài sản đảm bảo,numeric__Mục đích,numeric__Hạn mức,numeric__Thời hạn,numeric__Lãi suất/năm,numeric__Tài sản đảm bảo
I. Các khoản vay dài hạn của nhóm Công ty DCL,I. Các khoản vay dài hạn của nhóm Công ty DCL,I. Các khoản vay dài hạn của nhóm Công ty DCL,I. Các khoản vay dài hạn của nhóm Công ty DCL,I. Các khoản vay dài hạn của nhóm Công ty DCL,I. Các khoản vay dài hạn của nhóm Công ty DCL,I. Các khoản vay dài hạn của nhóm Công ty DCL,I. Các khoản vay dài hạn của nhóm Công ty DCL,,,,,
Ngân hàng TMCP Công thương Việt Nam – Chi nhánh Thành An (tại DCL),I. Các khoản vay dài hạn của nhóm Công ty DCL > Ngân hàng TMCP Công thương Việt Nam – Chi nhánh Thành An (tại DCL),Ngân hàng TMCP Công thương Việt Nam – Chi nhánh Thành An (tại DCL),"Thanh toán chi phí thuê đất tại Khu công nghiệp Hựu Thạnh, tỉnh Long An","121,7 tỷ VND",Tối đa 48 tháng,"9,2%",Quyền sử dụng đất tại Khu công nghiệp,,,,0.092,
Ngân hàng TMCP Công thương Việt Nam – Chi nhánh Thành An (tại TBYT Benovas),Ngân hàng TMCP Công thương Việt Nam – Chi nhánh Thành An (tại TBYT Benovas),Ngân hàng TMCP Công thương Việt Nam – Chi nhánh Thành An (tại TBYT Benovas),"Thanh toán các chi phí đầu tư hợp lý, hợp lệ, hợp pháp của Dự án đầu tư Nhà máy sản xuất thiết bị y tế Benovas",261 tỷ VND,84 tháng kể từ ngày giải ngân đầu tiên,"7 - 12,5%",Quyền sử dụng đất và tài sản hình thành từ vốn vay,,,,,
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam (tại DCL),Ngân hàng TMCP Công thương Việt Nam – Chi nhánh Thành An (tại TBYT Benovas) > Ngân hàng TMCP Đầu tư và Phát triển Việt Nam (tại DCL),Ngân hàng TMCP Đầu tư và Phát triển Việt Nam (tại DCL),"Xây dựng Kho Dược phẩm và Tòa nhà R&D đạt tiêu chuẩn GSP, GLP",59 tỷ VND,60 tháng kể từ ngày giải ngân đầu tiên,"7,8%",Bất động sản và tài sản hình thành từ nguồn vốn vay,,,,0.078,
Ngân hàng TMCP Ngoại thương Việt Nam (tại DCL),Ngân hàng TMCP Công thương Việt Nam – Chi nhánh Thành An (tại TBYT Benovas) > Ngân hàng TMCP Ngoại thương Việt Nam (tại DCL),Ngân hàng TMCP Ngoại thương Việt Nam (tại DCL),Đầu tư Nhà máy sản xuất Capsule – giai đoạn 4,140 tỷ VND,Tối đa 72 tháng kể từ ngày giải ngân vốn đầu tiên,"7,3%","Toàn bộ tài sản, bao gồm công trình xây dựng và máy móc thiết bị hình thành trong tương lai từ dự án Capsule 3",,,,0.073,
II. Các khoản vay dài hạn của Nhóm Công ty TSC,II. Các khoản vay dài hạn của Nhóm Công ty TSC,II. Các khoản vay dài hạn của Nhóm Công ty TSC,II. Các khoản vay dài hạn của Nhóm Công ty TSC,II. Các khoản vay dài hạn của Nhóm Công ty TSC,II. Các khoản vay dài hạn của Nhóm Công ty TSC,II. Các khoản vay dài hạn của Nhóm Công ty TSC,II. Các khoản vay dài hạn của Nhóm Công ty TSC,,,,,
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Thanh Xuân (tại WHG),II. Các khoản vay dài hạn của Nhóm Công ty TSC > Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Thanh Xuân (tại WHG),Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Thanh Xuân (tại WHG),Đầu tư Dự án Tổ hợp nhà máy chế biến nông sản thực phẩm Hậu Giang,"393,515 tỷ VND","108 tháng, ân hạn 24 tháng (kể từ","7,7%","Tài sản hình thành từ Dự án, tiền gửi có kỳ hạn của TSC, Quyền sử dụng đất của Bà Lê Hồng Phượng",,,,0.077,
