row_label_raw,row_label_full,Năm nay,Miền Bắc > Năm nay,Miền Nam > Năm nay,Loại trừ > Năm nay,Tổng cộng > Năm nay,numeric__Miền Bắc > Năm nay,numeric__Miền Nam > Năm nay,numeric__Loại trừ > Năm nay,numeric__Tổng cộng > Năm nay
Doanh thu thuần bán hàng ra bên ngoài,Doanh thu thuần bán hàng ra bên ngoài,Doanh thu thuần bán hàng ra bên ngoài,54.766.401.886,2.018.421.398.480,-,2.073.187.800.366,54766401886.0,2018421398480.0,,2073187800366.0
Doanh thu thuần bán hàng cho các bộ phận khác,Doanh thu thuần bán hàng cho các bộ phận khác,Doanh thu thuần bán hàng cho các bộ phận khác,16.626.976.189,50.578.629.121,(67.205.605.310),,16626976189.0,50578629121.0,-67205605310.0,
Tổng doanh thu,Tổng doanh thu,Tổng doanh thu,71.393.378.075,2.069.000.027.601,(67.205.605.310),2.073.187.800.366,71393378075.0,2069000027601.0,-67205605310.0,2073187800366.0
Giá vốn,Giá vốn,Giá vốn,47.821.745.257,1.702.120.955.612,(63.563.724.313),1.686.378.976.556,47821745257.0,1702120955612.0,-63563724313.0,1686378976556.0
Lợi nhuận gộp,Lợi nhuận gộp,Lợi nhuận gộp,23.571.632.818,366.879.071.989,(3.641.880.997),386.808.823.810,23571632818.0,366879071989.0,-3641880997.0,386808823810.0
"Lãi/(lỗ) trong công ty liên doanh, liên kết","Lãi/(lỗ) trong công ty liên doanh, liên kết","Lãi/(lỗ) trong công ty liên doanh, liên kết",-,(5.379.496.824),-,(5.379.496.824),,-5379496824.0,,-5379496824.0
Chi phí bán hàng và chi phí quản lý doanh nghiệp,Chi phí bán hàng và chi phí quản lý doanh nghiệp,Chi phí bán hàng và chi phí quản lý doanh nghiệp,39.665.519.145,321.966.251.702,(164.009.045),361.467.761.802,39665519145.0,321966251702.0,-164009045.0,361467761802.0
Lợi nhuận khác,Lợi nhuận khác,Lợi nhuận khác,(4.445.728.326),(9.156.609.223),(22.685.185),(13.625.022.734),-4445728326.0,-9156609223.0,-22685185.0,-13625022734.0
Doanh thu tài chính,Doanh thu tài chính,Doanh thu tài chính,152.484.499.708,91.100.142.614,(47.931.026.310),195.653.616.012,152484499708.0,91100142614.0,-47931026310.0,195653616012.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,61.020.019.006,73.284.527.508,(36.161.496.148),98.143.050.366,61020019006.0,73284527508.0,-36161496148.0,98143050366.0
Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,70.924.866.049,48.192.329.346,(15.270.087.299),103.847.108.096,70924866049.0,48192329346.0,-15270087299.0,103847108096.0
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,13.708.502.841,28.764.028.312,-,42.472.531.153,13708502841.0,28764028312.0,,42472531153.0
Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,-,3.532.824.080,288.887.181,3.821.711.261,,3532824080.0,288887181.0,3821711261.0
Lợi nhuận sau thuế TNDN,Lợi nhuận sau thuế TNDN,Lợi nhuận sau thuế TNDN,57.216.363.208,15.895.476.954,(15.558.974.480),57.552.865.682,57216363208.0,15895476954.0,-15558974480.0,57552865682.0
