row_label_raw,row_label_full,Tên công ty,Địa chỉ trụ sở chính,Hoạt động kinh doanh chính,Tỷ lệ phần sở hữu,Tỷ lệ phần sở hữu_1,Tỷ lệ quyền biểu quyết,Tỷ lệ quyền biểu quyết_1,numeric__Địa chỉ trụ sở chính,numeric__Hoạt động kinh doanh chính,numeric__Tỷ lệ phần sở hữu,numeric__Tỷ lệ phần sở hữu_1,numeric__Tỷ lệ quyền biểu quyết,numeric__Tỷ lệ quyền biểu quyết_1
Tên công ty,Tên công ty,Tên công ty,Địa chỉ trụ sở chính,Hoạt động kinh doanh chính,Số cuối năm,Số đầu năm,Số cuối năm,Số đầu năm,,,,,,
Công ty Cổ phần FIT Cosmetics,Tên công ty > Công ty Cổ phần FIT Cosmetics,Công ty Cổ phần FIT Cosmetics,"Tầng 2, số 81 Cách Mạng Tháng Tám, phường Bến Thành, thành phố Hồ Chí Minh",Phân phối hàng tiêu dùng,"22,71%","22,71%","49,00%","49,00%",,,0.2271,0.2271,0.49,0.49
Công ty Cổ phần Đầu tư Tây Đô Cửu Long,Tên công ty > Công ty Cổ phần Đầu tư Tây Đô Cửu Long,Công ty Cổ phần Đầu tư Tây Đô Cửu Long,"Khu công nghiệp Cái Sơn Hàng Bàng, đường Hoàng Quốc Việt, KV4, phường An Bình, thành phố Cần Thơ",Đầu tư tài chính,"36,55%",-,"48,18%",-,,,0.3655,,0.4818,
