row_label_raw,row_label_full,Ngân hàng,Hạn mức,Thời hạn,Lãi suất/năm,Tài sản đảm bảo,numeric__Hạn mức,numeric__Thời hạn,numeric__Lãi suất/năm,numeric__Tài sản đảm bảo
I. Các khoản vay tại Công ty mẹ,I. Các khoản vay tại Công ty mẹ,I. Các khoản vay tại Công ty mẹ,I. Các khoản vay tại Công ty mẹ,I. Các khoản vay tại Công ty mẹ,I. Các khoản vay tại Công ty mẹ,I. Các khoản vay tại Công ty mẹ,,,,
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam – Chi nhánh Thanh Xuân,I. Các khoản vay tại Công ty mẹ > Ngân hàng TMCP Đầu tư và Phát triển Việt Nam – Chi nhánh Thanh Xuân,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam – Chi nhánh Thanh Xuân,"49,78 tỷ VND",không quá 12 tháng,"5,2%",Hợp đồng tiền gửi có kỳ hạn với tổng giá trị tại ngày kết thúc năm tài chính là 50 tỷ VND.,,,0.052000000000000005,
II. Các khoản vay của Nhóm Công ty TSC,II. Các khoản vay của Nhóm Công ty TSC,II. Các khoản vay của Nhóm Công ty TSC,II. Các khoản vay của Nhóm Công ty TSC,II. Các khoản vay của Nhóm Công ty TSC,II. Các khoản vay của Nhóm Công ty TSC,II. Các khoản vay của Nhóm Công ty TSC,,,,
Ngân hàng TMCP Công thương Việt Nam - Chi nhánh Thành An (tại Công ty mẹ),II. Các khoản vay của Nhóm Công ty TSC > Ngân hàng TMCP Công thương Việt Nam - Chi nhánh Thành An (tại Công ty mẹ),Ngân hàng TMCP Công thương Việt Nam - Chi nhánh Thành An (tại Công ty mẹ),300 tỷ VND,06 tháng,"4,6%",Tiền gửi có kỳ hạn,,,0.046,
Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh Cần Thơ (tại WFC),Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh Cần Thơ (tại WFC),Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh Cần Thơ (tại WFC),50 tỷ VND,03-06 tháng,"5,0 - 6,5%",Tài sản cố định của WFC,,,,
Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh Khánh Hòa (tại VKD),Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh Cần Thơ (tại WFC) > Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh Khánh Hòa (tại VKD),Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh Khánh Hòa (tại VKD),30 tỷ VND,Không quá 05 tháng,"4,4%","Tiền gửi có kỳ hạn, hàng tồn kho, quyền khai thác khoáng sản, tài sản cố định của VKD",,,0.044000000000000004,
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Khánh Hòa (tại VKD),Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh Cần Thơ (tại WFC) > Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Khánh Hòa (tại VKD),Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Khánh Hòa (tại VKD),20 tỷ VND,Không quá 04 tháng,"4,4%",Tiền gửi có kỳ hạn của VKD,,,0.044000000000000004,
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Thanh Xuân (tại WHG),Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Thanh Xuân (tại WHG),Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Thanh Xuân (tại WHG),25 tỷ VND,90 ngày,"1,5-2,5%",Tiền gửi có kỳ hạn của WFC,,,,
Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam - Chi nhánh huyện Diên Khánh (tại VKD),Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Thanh Xuân (tại WHG) > Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam - Chi nhánh huyện Diên Khánh (tại VKD),Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam - Chi nhánh huyện Diên Khánh (tại VKD),30 tỷ VND,Không quá 06 tháng,4%,Tài sản cố định của VKD,,,0.04,
Ngân hàng TNHH MTV Public Việt Nam - Chi nhánh Thanh Xuân (tại WFC),Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Thanh Xuân (tại WHG) > Ngân hàng TNHH MTV Public Việt Nam - Chi nhánh Thanh Xuân (tại WFC),Ngân hàng TNHH MTV Public Việt Nam - Chi nhánh Thanh Xuân (tại WFC),60 tỷ VND,03-06 tháng,"6,25%",Tài sản cố định của WFC,,,0.0625,
