row_label_raw,row_label_full,Tên công ty,Địa chỉ trụ sở chính,Hoạt động kinh doanh chính,Tỷ lệ lợi ích,Tỷ lệ lợi ích_1,Tỷ lệ quyền biểu quyết,Tỷ lệ quyền biểu quyết_1,numeric__Địa chỉ trụ sở chính,numeric__Hoạt động kinh doanh chính,numeric__Tỷ lệ lợi ích,numeric__Tỷ lệ lợi ích_1,numeric__Tỷ lệ quyền biểu quyết,numeric__Tỷ lệ quyền biểu quyết_1
Tên công ty,Tên công ty,Tên công ty,Địa chỉ trụ sở chính,Hoạt động kinh doanh chính,Số cuối năm,Số đầu năm,Số cuối năm,Số đầu năm,,,,,,
Các công ty con của Công ty Cổ phần Vật tư Kỹ thuật Nông nghiệp Cần Thơ,Các công ty con của Công ty Cổ phần Vật tư Kỹ thuật Nông nghiệp Cần Thơ,Các công ty con của Công ty Cổ phần Vật tư Kỹ thuật Nông nghiệp Cần Thơ,Các công ty con của Công ty Cổ phần Vật tư Kỹ thuật Nông nghiệp Cần Thơ,Các công ty con của Công ty Cổ phần Vật tư Kỹ thuật Nông nghiệp Cần Thơ,Các công ty con của Công ty Cổ phần Vật tư Kỹ thuật Nông nghiệp Cần Thơ,Các công ty con của Công ty Cổ phần Vật tư Kỹ thuật Nông nghiệp Cần Thơ,Các công ty con của Công ty Cổ phần Vật tư Kỹ thuật Nông nghiệp Cần Thơ,Các công ty con của Công ty Cổ phần Vật tư Kỹ thuật Nông nghiệp Cần Thơ,,,,,,
Công ty Cổ phần Chế biển Thực phẩm Xuất khẩu miền Tây (“WFC”)(ii),Các công ty con của Công ty Cổ phần Vật tư Kỹ thuật Nông nghiệp Cần Thơ > Công ty Cổ phần Chế biển Thực phẩm Xuất khẩu miền Tây (“WFC”)(ii),Công ty Cổ phần Chế biển Thực phẩm Xuất khẩu miền Tây (“WFC”)(ii),"Khu công nghiệp Cái Sơn Hàng Bàng, đường Hoàng Quốc Việt, KV4, phường An Bình, thành phố Cần Thơ, Việt Nam","Chế biển, nhập xuất khẩu nông sản","18,53%","18,48%","45,11%","45,00%",,,0.18530000000000002,0.1848,0.4511,0.45
Công ty Cổ phần Hạt giống TSC (“TSS”),Các công ty con của Công ty Cổ phần Vật tư Kỹ thuật Nông nghiệp Cần Thơ > Công ty Cổ phần Hạt giống TSC (“TSS”),Công ty Cổ phần Hạt giống TSC (“TSS”),"1D Phạm Ngũ Lão, phường Ninh Kiều, thành phố Cần Thơ, Việt Nam",Kinh doanh hạt giống,"23,67%","23,67%","57,63%","57,63%",,,0.23670000000000002,0.23670000000000002,0.5763,0.5763
Công ty Cổ phần FIT Consumer (“FC”)(iii),Các công ty con của Công ty Cổ phần Vật tư Kỹ thuật Nông nghiệp Cần Thơ > Công ty Cổ phần FIT Consumer (“FC”)(iii),Công ty Cổ phần FIT Consumer (“FC”)(iii),"1D Phạm Ngũ Lão, phường Ninh Kiều, thành phố Cần Thơ, Việt Nam",Kinh doanh hàng tiêu dùng,"46,35%","46,35%","100,00%","100,00%",,,0.4635,0.4635,1.0,1.0
Công ty Cổ phần Giống Cây trồng Nông Tín,Các công ty con của Công ty Cổ phần Vật tư Kỹ thuật Nông nghiệp Cần Thơ > Công ty Cổ phần Giống Cây trồng Nông Tín,Công ty Cổ phần Giống Cây trồng Nông Tín,"Tầng 1, tòa nhà HSC, số 162b Điện Biên Phù, phường Xuân Hòa, thành phố Hồ Chí Minh, Việt Nam","Sản xuất, kinh doanh hạt giống","31,90%","31,90%","77,67%","77,67%",,,0.319,0.319,0.7767000000000001,0.7767000000000001
Các công ty con của Công ty Cổ phần Dược phẩm Cửu Long,Các công ty con của Công ty Cổ phần Dược phẩm Cửu Long,Các công ty con của Công ty Cổ phần Dược phẩm Cửu Long,Các công ty con của Công ty Cổ phần Dược phẩm Cửu Long,Các công ty con của Công ty Cổ phần Dược phẩm Cửu Long,Các công ty con của Công ty Cổ phần Dược phẩm Cửu Long,Các công ty con của Công ty Cổ phần Dược phẩm Cửu Long,Các công ty con của Công ty Cổ phần Dược phẩm Cửu Long,Các công ty con của Công ty Cổ phần Dược phẩm Cửu Long,,,,,,
"Công ty Liên doanh sân xuất kinh doanh, XNK Dược phẩm và Trang thiết bị y tế","Các công ty con của Công ty Cổ phần Dược phẩm Cửu Long > Công ty Liên doanh sân xuất kinh doanh, XNK Dược phẩm và Trang thiết bị y tế","Công ty Liên doanh sân xuất kinh doanh, XNK Dược phẩm và Trang thiết bị y tế","Số 11, đường Lanexang, bản Hatsady, quận Chanthabory, Lào",Giới thiệu thuốc,"29,61%","29,61%","51,00%","51,00%",,,0.2961,0.2961,0.51,0.51
Công ty TNHH MTV Dược phẩm VPC-Sài Gòn(iii),Các công ty con của Công ty Cổ phần Dược phẩm Cửu Long > Công ty TNHH MTV Dược phẩm VPC-Sài Gòn(iii),Công ty TNHH MTV Dược phẩm VPC-Sài Gòn(iii),"Số 150, đường 14 tháng 9, Phường Thanh Đức, Tỉnh Vĩnh Long, Việt Nam","Kinh doanh dược phẩm, dụng cụ y tế","58,05%","58,05%","100,00%","100,00%",,,0.5805,0.5805,1.0,1.0
Công ty Cổ phần Dược phẩm Benovas,Các công ty con của Công ty Cổ phần Dược phẩm Cửu Long > Công ty Cổ phần Dược phẩm Benovas,Công ty Cổ phần Dược phẩm Benovas,"Số 276 Nguyễn Đình Chiều, Phường Xuân Hòa, Thành phố Hồ Chí Minh, Việt Nam","Kinh doanh dược phẩm, capsule các loại","58,04%","58,04%","99,98%","99,98%",,,0.5804,0.5804,0.9998,0.9998
Công ty Cổ phần Thiết bị Y tế Benovas (“TBYT Benovas”)(iii),Các công ty con của Công ty Cổ phần Dược phẩm Cửu Long > Công ty Cổ phần Thiết bị Y tế Benovas (“TBYT Benovas”)(iii),Công ty Cổ phần Thiết bị Y tế Benovas (“TBYT Benovas”)(iii),"Số 68Đ Tổ 05, Áp Thanh Mỹ 1, Phường Thanh Đức, Tỉnh Vĩnh Long, Việt Nam","Sản xuất và kinh doanh dụng cụ, trang thiết bị y tế","58,05%","58,05%","100,00%","100,00%",,,0.5805,0.5805,1.0,1.0
Công ty Cổ phần Thuốc ung thư Benovas,Các công ty con của Công ty Cổ phần Dược phẩm Cửu Long > Công ty Cổ phần Thuốc ung thư Benovas,Công ty Cổ phần Thuốc ung thư Benovas,"Tầng 5, tòa nhà HACC1 Complex tại lô 2.6, No đường Lê Văn Lương, phường Thanh Xuân, thành phố Hà Nội, Việt Nam","Sản xuất thuốc, hóa liệu và dược liệu","48,76%","48,76%","84,00%","84,00%",,,0.4876,0.4876,0.84,0.84
Công ty con của Công ty Cổ phần Đầu tư Bất động sản F.I.T,Công ty con của Công ty Cổ phần Đầu tư Bất động sản F.I.T,Công ty con của Công ty Cổ phần Đầu tư Bất động sản F.I.T,Công ty con của Công ty Cổ phần Đầu tư Bất động sản F.I.T,Công ty con của Công ty Cổ phần Đầu tư Bất động sản F.I.T,Công ty con của Công ty Cổ phần Đầu tư Bất động sản F.I.T,Công ty con của Công ty Cổ phần Đầu tư Bất động sản F.I.T,Công ty con của Công ty Cổ phần Đầu tư Bất động sản F.I.T,Công ty con của Công ty Cổ phần Đầu tư Bất động sản F.I.T,,,,,,
