row_label_raw,row_label_full,Công ty Cổ phần Đầu tư Thương mại Hoa Sen Việt Nam,Số cuối năm > 16.157.668.352,Số đầu năm > 6.454.448.000,numeric__Số cuối năm > 16.157.668.352,numeric__Số đầu năm > 6.454.448.000
Trenwell Services Llc,Trenwell Services Llc,Trenwell Services Llc,12.066.253.779,16.339.862.500,12066253779.0,16339862500.0
Công ty TNHH Xây dựng và Thương mại Lê Gia Phúc,Công ty TNHH Xây dựng và Thương mại Lê Gia Phúc,Công ty TNHH Xây dựng và Thương mại Lê Gia Phúc,-,11.937.945.260,,11937945260.0
Công ty TNHH Thiết bị lạnh và Cách nhiệt TST,Công ty TNHH Thiết bị lạnh và Cách nhiệt TST,Công ty TNHH Thiết bị lạnh và Cách nhiệt TST,-,5.735.746.872,,5735746872.0
Công ty TNHH Cơ nhiệt Điện lạnh Bách Khoa,Công ty TNHH Cơ nhiệt Điện lạnh Bách Khoa,Công ty TNHH Cơ nhiệt Điện lạnh Bách Khoa,-,34.714.524.982,,34714524982.0
Công ty Cổ phần Tự động hóa Nam Tiến Phát,Công ty Cổ phần Tự động hóa Nam Tiến Phát,Công ty Cổ phần Tự động hóa Nam Tiến Phát,3.244.266.746,-,3244266746.0,
Công ty Cổ phần Confitech Cửu Long,Công ty Cổ phần Confitech Cửu Long,Công ty Cổ phần Confitech Cửu Long,-,7.250.000.000,,7250000000.0
Các nhà cung cấp khác,Các nhà cung cấp khác,Các nhà cung cấp khác,38.322.282.694,39.706.084.711,38322282694.0,39706084711.0
Cộng,Cộng,Cộng,69.790.471.571,122.138.612.325,69790471571.0,122138612325.0
