row_label_raw,row_label_full,Phải thu các bên liên quan (Xem thuyết minh VIII.1),Số cuối năm > 948.256.100,Số đầu năm > 551.350.800,numeric__Số cuối năm > 948.256.100,numeric__Số đầu năm > 551.350.800
Phải thu các khách hàng khác,Phải thu các khách hàng khác,Phải thu các khách hàng khác,373.953.148.774,428.013.090.676,373953148774.0,428013090676.0
Phải thu khách hàng liên quan đến hoạt động kinh doanh được phẩm,Phải thu khách hàng liên quan đến hoạt động kinh doanh được phẩm,Phải thu khách hàng liên quan đến hoạt động kinh doanh được phẩm,279.746.076.822,326.764.738.221,279746076822.0,326764738221.0
Các khách hàng khác,Các khách hàng khác,Các khách hàng khác,94.207.071.952,101.248.352.455,94207071952.0,101248352455.0
Cộng,Cộng,Cộng,374.901.404.874,428.564.441.476,374901404874.0,428564441476.0
