row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Thặng dư vốn cổ phần,Vốn khác của chủ sở hữu,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Lợi ích của Cổ đông không kiểm soát,Cộng,numeric__Vốn góp của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Vốn khác của chủ sở hữu,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Lợi ích của Cổ đông không kiểm soát,numeric__Cộng
Số dư tại 01/01/2024,Số dư tại 01/01/2024,Số dư tại 01/01/2024,3.399.330.340.000,74.895.160.642,80.481.887.391,646.388.781,154.861.723.057,2.054.853.209.936,5.765.068.709.807,3399330340000.0,74895160642.0,80481887391.0,646388781.0,154861723057.0,2054853209936.0,5765068709807.0
Lợi nhuận năm 2024,Lợi nhuận năm 2024,Lợi nhuận năm 2024,-,-,-,-,119.263.581.349,57.239.721.604,176.503.302.953,,,,,119263581349.0,57239721604.0,176503302953.0
Tăng/(giảm) do thay đổi tỷ lệ lợi ích tại các công ty con,Tăng/(giảm) do thay đổi tỷ lệ lợi ích tại các công ty con,Tăng/(giảm) do thay đổi tỷ lệ lợi ích tại các công ty con,,(21.129),,514.569.122,5.485.452.008,(4.600.000.001),1.400.000.000,,-21129.0,,514569122.0,5485452008.0,-4600000001.0,1400000000.0
Trích lập các quỹ tại Công ty con,Trích lập các quỹ tại Công ty con,Trích lập các quỹ tại Công ty con,-,-,-,-,(1.226.253.648),(1.126.481.360),(2.352.735.008),,,,,-1226253648.0,-1126481360.0,-2352735008.0
Tăng khác,Tăng khác,Tăng khác,-,-,-,-,148.482.910,107.287.742,255.770.652,,,,,148482910.0,107287742.0,255770652.0
Số dư tại 31/12/2024,Số dư tại 31/12/2024,Số dư tại 31/12/2024,3.399.330.340.000,74.895.139.513,80.481.887.391,1.160.957.903,278.532.985.676,2.106.473.737.921,5.940.875.048.404,3399330340000.0,74895139513.0,80481887391.0,1160957903.0,278532985676.0,2106473737921.0,5940875048404.0
Số dư tại 01/01/2025,Số dư tại 01/01/2025,Số dư tại 01/01/2025,3.399.330.340.000,74.895.139.513,80.481.887.391,1.160.957.903,278.532.985.676,2.106.473.737.921,5.940.875.048.404,3399330340000.0,74895139513.0,80481887391.0,1160957903.0,278532985676.0,2106473737921.0,5940875048404.0
Lợi nhuận năm 2025,Lợi nhuận năm 2025,Lợi nhuận năm 2025,-,-,-,-,39.983.790.608,17.569.070.902,57.552.865.682,,,,,39983790608.0,17569070902.0,57552865682.0
Trích lập các quỹ tại Công ty con,Trích lập các quỹ tại Công ty con,Trích lập các quỹ tại Công ty con,-,-,-,-,(1.508.756.155),(2.372.548.009),(3.881.304.164),,,,,-1508756155.0,-2372548009.0,-3881304164.0
WFC phát hành cổ phiếu thu bằng tiền,WFC phát hành cổ phiếu thu bằng tiền,WFC phát hành cổ phiếu thu bằng tiền,-,-,-,-,-,42.946.770.000,42.946.770.000,,,,,,42946770000.0,42946770000.0
Tăng khác,Tăng khác,Tăng khác,-,-,-,-,2.757.471,12.238.033,14.995.504,,,,,2757471.0,12238033.0,14995504.0
Số dư tại 31/12/2025,Số dư tại 31/12/2025,Số dư tại 31/12/2025,3.399.330.340.000,74.895.139.513,80.481.887.391,1.160.957.903,317.010.777.599,2.164.629.268.848,6.037.508.375.426,3399330340000.0,74895139513.0,80481887391.0,1160957903.0,317010777599.0,2164629268848.0,6037508375426.0
