row_label_raw,row_label_full,col_0,Công ty Cổ phần Vật tư Kỹ thuật Nông nghiệp Cần Thơ,Công ty Cổ phần Dược phẩm Cửu Long,Công ty Cổ phần Giống cây trồng Nông Tín,Công ty Cổ phần Nước khoáng Khánh Hòa,Công ty Cổ phần Chế biến Thực phẩm Xuất khẩu miền Tây,Cộng,numeric__Công ty Cổ phần Vật tư Kỹ thuật Nông nghiệp Cần Thơ,numeric__Công ty Cổ phần Dược phẩm Cửu Long,numeric__Công ty Cổ phần Giống cây trồng Nông Tín,numeric__Công ty Cổ phần Nước khoáng Khánh Hòa,numeric__Công ty Cổ phần Chế biến Thực phẩm Xuất khẩu miền Tây,numeric__Cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,6.387.565.874,163.255.255.818,12.864.385.324,620.990.283.326,4.723.270.846,808.220.761.188,6387565874.0,163255255818.0,12864385324.0,620990283326.0,4723270846.0,808220761188.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,6.387.565.874,163.255.255.818,12.864.385.324,620.990.283.326,4.723.270.846,808.220.761.188,6387565874.0,163255255818.0,12864385324.0,620990283326.0,4723270846.0,808220761188.0
Số đã phân bổ,Số đã phân bổ,Số đã phân bổ,Số đã phân bổ,Số đã phân bổ,Số đã phân bổ,Số đã phân bổ,Số đã phân bổ,Số đã phân bổ,,,,,,
Số đầu năm,Số đã phân bổ > Số đầu năm,Số đầu năm,6.387.565.874,157.133.183.717,12.221.166.056,217.346.599.165,4.723.270.846,397.811.785.658,6387565874.0,157133183717.0,12221166056.0,217346599165.0,4723270846.0,397811785658.0
Phân bổ trong năm,Số đã phân bổ > Phân bổ trong năm,Phân bổ trong năm,-,6.122.072.101,643.219.268,62.099.028.337,-,68.864.319.706,,6122072101.0,643219268.0,62099028337.0,,68864319706.0
Số cuối năm,Số đã phân bổ > Số cuối năm,Số cuối năm,6.387.565.874,163.255.255.818,12.864.385.324,279.445.627.502,4.723.270.846,466.676.105.364,6387565874.0,163255255818.0,12864385324.0,279445627502.0,4723270846.0,466676105364.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,-,6.122.072.101,643.219.268,403.643.684.161,-,410.408.975.530,,6122072101.0,643219268.0,403643684161.0,,410408975530.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,-,-,-,341.544.655.824,-,341.544.655.824,,,,341544655824.0,,341544655824.0
