row_label_raw,row_label_full,col_0,Số đầu năm,Chi phí phát sinh trong năm,Kết chuyển vào TSCĐ trong năm,Kết chuyển giảm khác,Số cuối năm,numeric__Số đầu năm,numeric__Chi phí phát sinh trong năm,numeric__Kết chuyển vào TSCĐ trong năm,numeric__Kết chuyển giảm khác,numeric__Số cuối năm
Mua sắm tài sản cố định,Mua sắm tài sản cố định,Mua sắm tài sản cố định,2.019.767.657,71.500.788.564,(32.381.254.289),-,41.139.301.932,2019767657.0,71500788564.0,-32381254289.0,,41139301932.0
Xây dựng cơ bản dở dang,Xây dựng cơ bản dở dang,Xây dựng cơ bản dở dang,788.215.890.505,235.288.701.844,(785.921.732.664),(4.790.748.033),232.792.111.652,788215890505.0,235288701844.0,-785921732664.0,-4790748033.0,232792111652.0
Dự án Đầu tư Nhà máy tại Hậu Giang (i),Dự án Đầu tư Nhà máy tại Hậu Giang (i),Dự án Đầu tư Nhà máy tại Hậu Giang (i),272.875.463.337,129.831.801.314,(402.707.264.651),-,-,272875463337.0,129831801314.0,-402707264651.0,,
Dự án Công trình Nhà máy Vikimco (ii),Dự án Công trình Nhà máy Vikimco (ii),Dự án Công trình Nhà máy Vikimco (ii),169.724.302.338,39.693.617.812,(185.527.504.272),(3.307.441.004),20.582.974.874,169724302338.0,39693617812.0,-185527504272.0,-3307441004.0,20582974874.0
Dự án Công trình Nhà máy tại Long An (iii),Dự án Công trình Nhà máy tại Long An (iii),Dự án Công trình Nhà máy tại Long An (iii),186.066.914.053,13.093.686.774,-,-,199.160.600.827,186066914053.0,13093686774.0,,,199160600827.0
Dự án dây chuyển Capsule 5 (iv),Dự án dây chuyển Capsule 5 (iv),Dự án dây chuyển Capsule 5 (iv),152.392.172.368,30.947.360.000,(181.856.225.339),(1.483.307.029),-,152392172368.0,30947360000.0,-181856225339.0,-1483307029.0,
Dự án xây dựng Tổng kho và tòa nhà RD,Dự án xây dựng Tổng kho và tòa nhà RD,Dự án xây dựng Tổng kho và tòa nhà RD,-,-,-,-,-,,,,,
Các dự án khác,Dự án xây dựng Tổng kho và tòa nhà RD > Các dự án khác,Các dự án khác,7.157.038.409,21.722.235.944,(15.830.738.402),-,13.048.535.951,7157038409.0,21722235944.0,-15830738402.0,,13048535951.0
Sửa chữa lớn tài sản cố định,Dự án xây dựng Tổng kho và tòa nhà RD > Sửa chữa lớn tài sản cố định,Sửa chữa lớn tài sản cố định,-,3.671.235.468,(974.074.074),-,2.697.161.394,,3671235468.0,-974074074.0,,2697161394.0
Cộng,Dự án xây dựng Tổng kho và tòa nhà RD > Cộng,Cộng,790.235.658.162,310.460.725.876,(819.277.061.027),(4.790.748.033),276.628.574.978,790235658162.0,310460725876.0,-819277061027.0,-4790748033.0,276628574978.0
