row_label_raw,row_label_full,col_0,Công ty Cổ phần FIT Comestics,Công ty Cổ phần Đầu tư Tây Đô Cửu Long,Cộng,numeric__Công ty Cổ phần FIT Comestics,numeric__Công ty Cổ phần Đầu tư Tây Đô Cửu Long,numeric__Cộng
Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,,,
Giá gốc,Số cuối năm > Giá gốc,Giá gốc,383.137.080.000,1.430.000.000.000,1.813.137.080.000,383137080000.0,1430000000000.0,1813137080000.0
Lợi nhuận phát sinh sau ngày đầu tư,Số cuối năm > Lợi nhuận phát sinh sau ngày đầu tư,Lợi nhuận phát sinh sau ngày đầu tư,(98.126.779.020),12.000.688,(98.114.778.332),-98126779020.0,12000688.0,-98114778332.0
Cộng,Số cuối năm > Cộng,Cộng,285.010.300.980,1.430.012.000.688,1.715.022.301.668,285010300980.0,1430012000688.0,1715022301668.0
Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,,,
Giá gốc,Số đầu năm > Giá gốc,Giá gốc,383.137.080.000,-,383.137.080.000,383137080000.0,,383137080000.0
Lợi nhuận phát sinh sau ngày đầu tư,Số đầu năm > Lợi nhuận phát sinh sau ngày đầu tư,Lợi nhuận phát sinh sau ngày đầu tư,(92.735.281.508),-,(92.735.281.508),-92735281508.0,,-92735281508.0
Cộng,Số đầu năm > Cộng,Cộng,290.401.798.492,-,290.401.798.492,290401798492.0,,290401798492.0
