row_label_raw,row_label_full,col_0,Giá trị còn lại của tài sản bộ phận > Số cuối năm,Giá trị còn lại của tài sản bộ phận > Số đầu năm,"Tăng TSCĐ vô hình, TSCĐ hữu hình,bất động sản đầu tư > Năm nay","Tăng TSCĐ vô hình, TSCĐ hữu hình,bất động sản đầu tư > Năm trước",numeric__Giá trị còn lại của tài sản bộ phận > Số cuối năm,numeric__Giá trị còn lại của tài sản bộ phận > Số đầu năm,"numeric__Tăng TSCĐ vô hình, TSCĐ hữu hình,bất động sản đầu tư > Năm nay","numeric__Tăng TSCĐ vô hình, TSCĐ hữu hình,bất động sản đầu tư > Năm trước"
Lĩnh vực tư vấn vàđầu tư,Lĩnh vực tư vấn vàđầu tư,Lĩnh vực tư vấn vàđầu tư,61.109.907.057,64.117.777.318,212.880.808,1.268.671.909,61109907057.0,64117777318.0,212880808.0,1268671909.0
Lĩnh vực nôngnghiệp,Lĩnh vực nôngnghiệp,Lĩnh vực nôngnghiệp,658.070.340.698,250.124.354.369,439.768.260.093,47.058.256.241,658070340698.0,250124354369.0,439768260093.0,47058256241.0
Lĩnh vực thuốc vàthiết bị y tế,Lĩnh vực thuốc vàthiết bị y tế,Lĩnh vực thuốc vàthiết bị y tế,800.063.465.428,456.200.045.719,231.871.510.490,54.759.115.609,800063465428.0,456200045719.0,231871510490.0,54759115609.0
Cộng,Cộng,Cộng,1.519.243.713.183,770.442.177.406,671.852.651.391,103.086.043.759,1519243713183.0,770442177406.0,671852651391.0,103086043759.0
