row_label_raw,row_label_full,col_0,Vốn góp củaChủ sở hữu,Thặng dưvốn cổ phần,Quỹ đầu tư phát triển,Lợi nhuận sau thuếchưa phân phối,Tổng cộng,numeric__Vốn góp củaChủ sở hữu,numeric__Thặng dưvốn cổ phần,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuếchưa phân phối,numeric__Tổng cộng
,,,VND,VND,VND,VND,VND,,,,,
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,58.147.857.000.000,3.211.560.416.270,790.996.872.665,8.650.680.888.853,70.801.095.177.788,58147857000000.0,3211560416270.0,790996872665.0,8650680888853.0,70801095177788.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,10.247.400.472.100,10.247.400.472.100,,,,10247400472100.0,10247400472100.0
Trả cổ tức bằng cổ phiếu,Trả cổ tức bằng cổ phiếu,Trả cổ tức bằng cổ phiếu,5.814.645.000.000,(3.211.560.416.270),-,(2.603.084.583.730),-,5814645000000.0,-3211560416270.0,,-2603084583730.0,
Trích quỹ khen thưởngphúc lợi,Trích quỹ khen thưởngphúc lợi,Trích quỹ khen thưởngphúc lợi,-,-,-,(265.750.000.000),(265.750.000.000),,,,-265750000000.0,-265750000000.0
Sử dụng trong năm,Sử dụng trong năm,Sử dụng trong năm,-,-,(2.559.071.836),-,(2.559.071.836),,,-2559071836.0,,-2559071836.0
Số dư cuối năm trước,Số dư cuối năm trước,Số dư cuối năm trước,63.962.502.000.000,-,788.437.800.829,16.029.246.777.223,80.780.186.578.052,63962502000000.0,,788437800829.0,16029246777223.0,80780186578052.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,63.962.502.000.000,-,788.437.800.829,16.029.246.777.223,80.780.186.578.052,63962502000000.0,,788437800829.0,16029246777223.0,80780186578052.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,14.074.169.615.158,14.074.169.615.158,,,,14074169615158.0,14074169615158.0
Trả cổ tức bằng cổ phiếu,Trả cổ tức bằng cổ phiếu,Trả cổ tức bằng cổ phiếu,12.792.156.550.000,-,-,(12.792.156.550.000),-,12792156550000.0,,,-12792156550000.0,
"Trích quỹ khen thưởng,phúc lợi (i)","Trích quỹ khen thưởng,phúc lợi (i)","Trích quỹ khen thưởng,phúc lợi (i)",-,-,-,(423.429.725.000),(423.429.725.000),,,,-423429725000.0,-423429725000.0
Trích quỹ đầu tư pháttriển (i),Trích quỹ đầu tư pháttriển (i),Trích quỹ đầu tư pháttriển (i),-,-,600.000.000.000,(600.000.000.000),-,,,600000000000.0,-600000000000.0,
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,76.754.658.550.000,-,1.388.437.800.829,16.287.830.117.381,94.430.926.468.210,76754658550000.0,,1388437800829.0,16287830117381.0,94430926468210.0
