row_label_raw,row_label_full,col_0,TÀI SẢN,Mã số,Thuyết minh,Số cuối năm,Số đầu năm,numeric__TÀI SẢN,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
A.,A.,A.,TÀI SẢN NGĂN HẠN,100,,1.383.355.031.957,1.015.072.291.199,,100.0,,1383355031957.0,1015072291199.0
I.,I.,I.,Tiền và các khoản tương đương tiền,110,5,481.464.857.088,319.257.876.941,,110.0,5.0,481464857088.0,319257876941.0
1.,1.,1.,Tiền,111,,38.764.857.088,46.457.876.941,,111.0,,38764857088.0,46457876941.0
2.,2.,2.,Các khoản tương đương tiền,112,,442.700.000.000,272.800.000.000,,112.0,,442700000000.0,272800000000.0
II.,II.,II.,Đầu tư tài chính ngắn hạn,120,6,258.767.090.411,281.046.575.342,,120.0,6.0,258767090411.0,281046575342.0
1.,1.,1.,Đầu tư nằm giữ đến ngày đáo hạn,123,,258.767.090.411,281.046.575.342,,123.0,,258767090411.0,281046575342.0
III.,III.,III.,Các khoản phải thu ngắn hạn,130,,608.799.438.799,382.019.681.921,,130.0,,608799438799.0,382019681921.0
1.,1.,1.,Phải thu ngắn hạn của khách hàng,131,7,225.759.760.949,146.311.178.378,,131.0,7.0,225759760949.0,146311178378.0
2.,2.,2.,Trả trước cho người bán ngắn hạn,132,,4.685.352.083,19.125.157.288,,132.0,,4685352083.0,19125157288.0
3.,3.,3.,Phải thu về cho vay ngắn hạn,135,8,-,196.900.000.000,,135.0,8.0,,196900000000.0
4.,4.,4.,Phải thu ngắn hạn khác,136,9,378.354.325.767,19.683.346.255,,136.0,9.0,378354325767.0,19683346255.0
IV.,IV.,IV.,Hàng tồn kho,140,,1.986.588.655,721.931.618,,140.0,,1986588655.0,721931618.0
1.,1.,1.,Hàng tồn kho,141,,1.986.588.655,721.931.618,,141.0,,1986588655.0,721931618.0
V.,V.,V.,Tài sản ngắn hạn khác,150,,32.337.057.004,32.026.225.377,,150.0,,32337057004.0,32026225377.0
1.,1.,1.,Chi phí trả trước ngắn hạn,151,10,30.307.726.930,29.956.239.110,,151.0,10.0,30307726930.0,29956239110.0
2.,2.,2.,Thuế giá trị gia tăng được khấu trừ,152,,882.220.272,922.876.465,,152.0,,882220272.0,922876465.0
3.,3.,3.,Thuế và các khoản khác phải thu Nhà nước,153,11,1.147.109.802,1.147.109.802,,153.0,11.0,1147109802.0,1147109802.0
B.,B.,B.,TÀI SẢN DÀI HẠN,200,,97.287.423.659.648,80.778.004.224.445,,200.0,,97287423659648.0,80778004224445.0
I.,I.,I.,Các khoản phải thu dài hạn,210,,103.595.000.000,23.095.000.000,,210.0,,103595000000.0,23095000000.0
1.,1.,1.,Phải thu về cho vay dài hạn,215,8,99.400.000.000,19.000.000.000,,215.0,8.0,99400000000.0,19000000000.0
2.,2.,2.,Phải thu dài hạn khác,216,9,4.195.000.000,4.095.000.000,,216.0,9.0,4195000000.0,4095000000.0
II.,II.,II.,Tài sản cố định,220,,38.934.232.937,67.613.461.560,,220.0,,38934232937.0,67613461560.0
1.,1.,1.,Tài sản cố định hữu hình,221,12,32.832.232.331,59.554.496.946,,221.0,12.0,32832232331.0,59554496946.0
,,,- Nguyên giá,222,,187.305.906.852,186.037.992.716,,222.0,,187305906852.0,186037992716.0
,,,- Giá trị hao mòn lũy kế,223,,(154.473.674.521),(126.483.495.770),,223.0,,-154473674521.0,-126483495770.0
2.,2.,2.,Tài sản cố định vô hình,227,13,6.102.000.606,8.058.964.614,,227.0,13.0,6102000606.0,8058964614.0
,,,- Nguyên giá,228,,29.662.833.440,29.362.833.440,,228.0,,29662833440.0,29362833440.0
,,,- Giá trị hao mòn lũy kế,229,,(23.560.832.834),(21.303.868.826),,229.0,,-23560832834.0,-21303868826.0
III.,III.,III.,Bất động sản đầu tư,230,14,79.481.693.590,92.443.046.398,,230.0,14.0,79481693590.0,92443046398.0
,,,- Nguyên giá,231,,259.227.056.200,259.227.056.200,,231.0,,259227056200.0,259227056200.0
,,,- Giá trị hao mòn lũy kế,232,,(179.745.362.610),(166.784.009.802),,232.0,,-179745362610.0,-166784009802.0
IV.,IV.,IV.,Tài sản dở dang dài hạn,240,,7.840.967.750,5.560.498.118,,240.0,,7840967750.0,5560498118.0
1.,1.,1.,Chi phí xây dựng cơ bản dở dang,242,,7.840.967.750,5.560.498.118,,242.0,,7840967750.0,5560498118.0
V.,V.,V.,Đầu tư tài chính dài hạn,250,6,97.018.349.440.000,80.585.847.420.000,,250.0,6.0,97018349440000.0,80585847420000.0
1.,1.,1.,Đầu tư vào công ty con,251,,97.018.349.440.000,80.585.847.420.000,,251.0,,97018349440000.0,80585847420000.0
VI.,VI.,VI.,Tài sản dài hạn khác,260,,39.222.325.371,3.444.798.369,,260.0,,39222325371.0,3444798369.0
1.,1.,1.,Chi phí trả trước dài hạn,261,10,39.222.325.371,3.444.798.369,,261.0,10.0,39222325371.0,3444798369.0
,,,TỔNG CỘNG TÀI SẢN (270=100+200),270,,98.670.778.691.605,81.793.076.515.644,,270.0,,98670778691605.0,81793076515644.0
