row_label_raw,row_label_full,col_0,NGUỒN VỐN,Thuyết > Mã số,Thuyết > minh,Số cuối năm,Số đầu năm,numeric__NGUỒN VỐN,numeric__Thuyết > Mã số,numeric__Thuyết > minh,numeric__Số cuối năm,numeric__Số đầu năm
C.,C.,C.,NỘ PHẢI TRÀ,300,,4.239.852.223.395,1.012.889.937.592,,300.0,,4239852223395.0,1012889937592.0
I.,I.,I.,Nợ ngắn hạn,310,,1.380.352.223.395,1.012.889.937.592,,310.0,,1380352223395.0,1012889937592.0
1.,1.,1.,Phải trả người bán ngắn hạn,311,15,38.729.574.662,20.302.825.821,,311.0,15.0,38729574662.0,20302825821.0
2.,2.,2.,Thuế và các khoản phải nộp Nhà nước,313,11,5.336.528.393,11.898.040.627,,313.0,11.0,5336528393.0,11898040627.0
3.,3.,3.,Phải trả người lao động,314,,12.474.675.078,8.110.460.639,,314.0,,12474675078.0,8110460639.0
4.,4.,4.,Chi phí phải trả ngắn hạn,315,,2.528.188.086,480.866.916,,315.0,,2528188086.0,480866916.0
5.,5.,5.,Doanh thu chưa thực hiện ngắn hạn,318,,3.912.768.409,3.151.245.281,,318.0,,3912768409.0,3151245281.0
6.,6.,6.,Phải trả ngắn hạn khác,319,16,38.532.671.975,30.484.725.723,,319.0,16.0,38532671975.0,30484725723.0
7.,7.,7.,Vay ngắn hạn,320,18,400.000.000.000,-,,320.0,18.0,400000000000.0,
8.,8.,8.,"Quỹ khen thưởng, phúc lợi",322,17,878.837.816.792,938.461.772.585,,322.0,17.0,878837816792.0,938461772585.0
II.,II.,II.,Nợ dài hạn,330,,2.859.500.000.000,-,,330.0,,2859500000000.0,
1.,1.,1.,Vay dài hạn,338,19,2.859.500.000.000,-,,338.0,19.0,2859500000000.0,
D.,D.,D.,VỐN CHỦ SỞ HỮU,400,,94.430.926.468.210,80.780.186.578.052,,400.0,,94430926468210.0,80780186578052.0
I.,I.,I.,Vốn chủ sở hữu,410,20,94.430.926.468.210,80.780.186.578.052,,410.0,20.0,94430926468210.0,80780186578052.0
1.,1.,1.,Vốn góp của chủ sở hữu,411,,76.754.658.550.000,63.962.502.000.000,,411.0,,76754658550000.0,63962502000000.0
,,,- Cổ phiếu phổ thông có quyền biểu quyết,411a,,76.754.658.550.000,63.962.502.000.000,,,,76754658550000.0,63962502000000.0
2.,2.,2.,Quỹ đầu tư phát triển,418,,1.388.437.800.829,788.437.800.829,,418.0,,1388437800829.0,788437800829.0
3.,3.,3.,Lợi nhuận sau thuế chưa phân phối,421,,16.287.830.117.381,16.029.246.777.223,,421.0,,16287830117381.0,16029246777223.0
,,,- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,421a,,2.213.660.502.223,5.781.846.305.123,,,,2213660502223.0,5781846305123.0
,,,- Lợi nhuận sau thuế chưa phân phối năm nay,421b,,14.074.169.615.158,10.247.400.472.100,,,,14074169615158.0,10247400472100.0
,,,TỔNG CỘNG NGUỒN VỐN(440=300+400),440,,98.670.778.691.605,81.793.076.515.644,,440.0,,98670778691605.0,81793076515644.0
,,,Nguyễn Diệu LinhNgười lập biểu,Phạm Thị Kim OanhKế toán trường,,Nguyên Việt ThắngTổng Giám đốcNgày 24 tháng 3 năm 2026,Nguyên Việt ThắngTổng Giám đốcNgày 24 tháng 3 năm 2026,,,,,
