row_label_raw,row_label_full,STT,Tên công ty,Nơi thành lập và hoạt động,Tỷ lệ lợi ích (%),Tỷ lệ quyền biểu quyết nằm giữ (%),Hoạt động chính,numeric__Tên công ty,numeric__Nơi thành lập và hoạt động,numeric__Tỷ lệ lợi ích (%),numeric__Tỷ lệ quyền biểu quyết nằm giữ (%),numeric__Hoạt động chính
1,1,1,Công ty Cổ phần Gang thép Hòa Phát (i),Hà Nội,"99,9989%","99,9989%","Đầu tư, sản xuất, kinh doanh thép xây dựng và các hoạt động phụ trợ.",,,0.999989,0.999989,
2,2,2,Công ty Cổ phần Sản phẩm Thép Hòa Phát (ii),Hà Nội,"99,9960%","99,9960%","Đầu tư, sản xuất, kinh doanh ống thép, tôn mạ màu và các hoạt động phụ trợ.",,,0.99996,0.99996,
3,3,3,Công ty Cổ phần Phát triển Nông nghiệp Hòa Phát (iii),Hưng Yên,"94,9992%","94,9992%","Chăn nuôi gia súc, gia cầm; trồng trọt; các hoạt động dịch vụ trồng trọt, chăn nuôi, sau thu hoạch; sản xuất thức ăn gia súc, gia cầm và thủy sán.",,,0.9499920000000001,0.9499920000000001,
4,4,4,Công ty Cổ phần Phát triển Bắt động sản Hòa Phát (iv),Hà Nội,"99,9811%","99,9811%","Đầu tư, xây dựng, kinh doanh bất động sản và các hoạt động phụ trợ.",,,0.999811,0.999811,
5,5,5,Công ty Cổ phần Điện máy Gia dụng Hòa Phát (v),Hà Nội,"99,9167%","99,9167%","Đầu tư, sản xuất, kinh doanh các sản phẩm điện máy - gia dụng.",,,0.999167,0.999167,
