row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc VND,Máy móc và thiết bị VND,Thiết bị văn phòng VND,Phương tiện vận chuyển VND,Tổng VND,numeric__Nhà cửa và vật kiến trúc VND,numeric__Máy móc và thiết bị VND,numeric__Thiết bị văn phòng VND,numeric__Phương tiện vận chuyển VND,numeric__Tổng VND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,5.687.295.643,6.706.912.418,94.462.406.226,79.181.378.429,186.037.992.716,5687295643.0,6706912418.0,94462406226.0,79181378429.0,186037992716.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,-,715.508.581,552.405.555,-,1.267.914.136,,715508581.0,552405555.0,,1267914136.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,5.687.295.643,7.422.420.999,95.014.811.781,79.181.378.429,187.305.906.852,5687295643.0,7422420999.0,95014811781.0,79181378429.0,187305906852.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,3.926.210.525,5.345.455.260,70.815.660.824,46.396.169.161,126.483.495.770,3926210525.0,5345455260.0,70815660824.0,46396169161.0,126483495770.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,568.730.448,672.079.689,16.460.607.564,10.288.761.050,27.990.178.751,568730448.0,672079689.0,16460607564.0,10288761050.0,27990178751.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,4.494.940.973,6.017.534.949,87.276.268.388,56.684.930.211,154.473.674.521,4494940973.0,6017534949.0,87276268388.0,56684930211.0,154473674521.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,1.761.085.118,1.361.457.158,23.646.745.402,32.785.209.268,59.554.496.946,1761085118.0,1361457158.0,23646745402.0,32785209268.0,59554496946.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,1.192.354.670,1.404.886.050,7.738.543.393,22.496.448.218,32.832.232.331,1192354670.0,1404886050.0,7738543393.0,22496448218.0,32832232331.0
