row_label_raw,row_label_full,col_0,Số đầu nămVND,Số phải nộp/thu trong nămVND,Số đã thực nộp/thu trong nămVND,Số cuối nămVND,numeric__Số đầu nămVND,numeric__Số phải nộp/thu trong nămVND,numeric__Số đã thực nộp/thu trong nămVND,numeric__Số cuối nămVND
a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,,,,
Thuế giá trị gia tăng,a. Các khoản phải thu > Thuế giá trị gia tăng,Thuế giá trị gia tăng,425.650.100,-,-,425.650.100,425650100.0,,,425650100.0
Thuế thu nhập doanh nghiệp,a. Các khoản phải thu > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,721.459.702,-,-,721.459.702,721459702.0,,,721459702.0
,,,1.147.109.802,-,-,1.147.109.802,1147109802.0,,,1147109802.0
b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,,,,
Thuế giá trị gia tăng,b. Các khoản phải trả > Thuế giá trị gia tăng,Thuế giá trị gia tăng,9.141.010.445,15.636.789.990,19.784.109.348,4.993.691.087,9141010445.0,15636789990.0,19784109348.0,4993691087.0
Thuế giá trị gia tăng hàng nhập khẩu,b. Các khoản phải trả > Thuế giá trị gia tăng hàng nhập khẩu,Thuế giá trị gia tăng hàng nhập khẩu,-,106.469.002,106.469.002,-,,106469002.0,106469002.0,
Thuế nhập khẩu,b. Các khoản phải trả > Thuế nhập khẩu,Thuế nhập khẩu,-,43.467,43.467,-,,43467.0,43467.0,
Thuế thu nhập cá nhân,b. Các khoản phải trả > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,2.757.030.182,53.529.625.350,55.943.818.226,342.837.306,2757030182.0,53529625350.0,55943818226.0,342837306.0
Thuế nhà thầu nước ngoài,b. Các khoản phải trả > Thuế nhà thầu nước ngoài,Thuế nhà thầu nước ngoài,-,198.164.491,198.164.491,-,,198164491.0,198164491.0,
Tiền thuê đất,b. Các khoản phải trả > Tiền thuê đất,Tiền thuê đất,-,503.142.305,503.142.305,-,,503142305.0,503142305.0,
"Thuế, phí khác","b. Các khoản phải trả > Thuế, phí khác","Thuế, phí khác",-,8.020.000,8.020.000,-,,8020000.0,8020000.0,
,,,11.898.040.627,69.982.254.605,76.543.766.839,5.336.528.393,11898040627.0,69982254605.0,76543766839.0,5336528393.0
