row_label_raw,row_label_full,Các bên liên quan > Phải thu ngắn hạn của khách hàng (Thuyết minh số 5.1),Mối quan hệ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 5.1),Nội dung nghiệp vụ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 5.1),Số cuối năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 5.1),Số đầu năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 5.1),numeric__Mối quan hệ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 5.1),numeric__Nội dung nghiệp vụ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 5.1),numeric__Số cuối năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 5.1),numeric__Số đầu năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 5.1)
Công ty TNHH MTV Đầu tư Văn Phú - Giảng Võ,Công ty TNHH MTV Đầu tư Văn Phú - Giảng Võ,Công ty TNHH MTV Đầu tư Văn Phú - Giảng Võ,Công ty con,Cung cấp dịch vụ,39.452.470.548,102.186.000,,,39452470548.0,102186000.0
Công ty Cổ phần Đầu tư Văn Phú số 2,Công ty Cổ phần Đầu tư Văn Phú số 2,Công ty Cổ phần Đầu tư Văn Phú số 2,Công ty con,Cung cấp dịch vụ,2.909.032.334,175.708.000,,,2909032334.0,175708000.0
Công ty Cổ phần Văn Phú Homes,Công ty Cổ phần Văn Phú Homes,Công ty Cổ phần Văn Phú Homes,Công ty con,Cung cấp dịch vụ,176.942.000,1.522.943.237,,,176942000.0,1522943237.0
Công ty TNHH Văn Phú - CGM,Công ty TNHH Văn Phú - CGM,Công ty TNHH Văn Phú - CGM,Công ty con,Cung cấp dịch vụ,298.460.000,2.229.842.322,,,298460000.0,2229842322.0
Công ty Cổ phần Đầu tư Văn Phú – Land,Công ty Cổ phần Đầu tư Văn Phú – Land,Công ty Cổ phần Đầu tư Văn Phú – Land,Cùng thành viên Ban Tổng Giám đốc,Cung cấp dịch vụ,-,2.236.892.000,,,,2236892000.0
Công ty Cổ phần Đầu tư Văn Phú số 1,Công ty Cổ phần Đầu tư Văn Phú số 1,Công ty Cổ phần Đầu tư Văn Phú số 1,Công ty con,Cung cấp dịch vụ,125.598.000,206.573.000,,,125598000.0,206573000.0
Công ty Cổ phần Kinh doanh Địa ốc Văn Phú,Công ty Cổ phần Kinh doanh Địa ốc Văn Phú,Công ty Cổ phần Kinh doanh Địa ốc Văn Phú,Công ty liên kết,Cung cấp dịch vụ,131.424.000,98.714.000,,,131424000.0,98714000.0
Công ty TNHH Nông dược Trường Minh,Công ty TNHH Nông dược Trường Minh,Công ty TNHH Nông dược Trường Minh,Công ty có cùng thành viên quản lý chủ chốt,Cung cấp dịch vụ,882.153.742,431.650.742,,,882153742.0,431650742.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,43.976.080.624,7.004.509.301,,,43976080624.0,7004509301.0
Trả trước cho người bán ngắn hạn (Thuyết minh số 5.2),Trả trước cho người bán ngắn hạn (Thuyết minh số 5.2),Trả trước cho người bán ngắn hạn (Thuyết minh số 5.2),Trả trước cho người bán ngắn hạn (Thuyết minh số 5.2),Trả trước cho người bán ngắn hạn (Thuyết minh số 5.2),Trả trước cho người bán ngắn hạn (Thuyết minh số 5.2),Trả trước cho người bán ngắn hạn (Thuyết minh số 5.2),,,,
Công ty TNHH Văn Phú - CGM,Trả trước cho người bán ngắn hạn (Thuyết minh số 5.2) > Công ty TNHH Văn Phú - CGM,Công ty TNHH Văn Phú - CGM,Công ty con,Tạm ứng theo hợp đồng tổng thầu,188.304.771.773,29.631.243.018,,,188304771773.0,29631243018.0
TỔNG CỘNG,Trả trước cho người bán ngắn hạn (Thuyết minh số 5.2) > TỔNG CỘNG,TỔNG CỘNG,,,188.304.771.773,29.631.243.018,,,188304771773.0,29631243018.0
Phải thu về cho vay (Thuyết minh số 6),Phải thu về cho vay (Thuyết minh số 6),Phải thu về cho vay (Thuyết minh số 6),Phải thu về cho vay (Thuyết minh số 6),Phải thu về cho vay (Thuyết minh số 6),Phải thu về cho vay (Thuyết minh số 6),Phải thu về cho vay (Thuyết minh số 6),,,,
Công ty TNHH MTV Đầu tư Văn Phú - Giảng Võ,Phải thu về cho vay (Thuyết minh số 6) > Công ty TNHH MTV Đầu tư Văn Phú - Giảng Võ,Công ty TNHH MTV Đầu tư Văn Phú - Giảng Võ,Công ty con,Phải thu về cho vay,-,65.460.000.000,,,,65460000000.0
TỔNG CỘNG,Phải thu về cho vay (Thuyết minh số 6) > TỔNG CỘNG,TỔNG CỘNG,,,-,65.460.000.000,,,,65460000000.0
