row_label_raw,row_label_full,Các bên liên quan > Phải thu dài hạn khác (Thuyết minh số 7),Mối quan hệ > Phải thu dài hạn khác (Thuyết minh số 7),Nội dung nghiệp vụ > Phải thu dài hạn khác (Thuyết minh số 7),Số cuối năm > Phải thu dài hạn khác (Thuyết minh số 7),Số đầu năm > Phải thu dài hạn khác (Thuyết minh số 7),numeric__Mối quan hệ > Phải thu dài hạn khác (Thuyết minh số 7),numeric__Nội dung nghiệp vụ > Phải thu dài hạn khác (Thuyết minh số 7),numeric__Số cuối năm > Phải thu dài hạn khác (Thuyết minh số 7),numeric__Số đầu năm > Phải thu dài hạn khác (Thuyết minh số 7)
Công ty Cổ phần Văn Phú Bắc Ají,Công ty Cổ phần Văn Phú Bắc Ají,Công ty Cổ phần Văn Phú Bắc Ají,Công ty con,Vốn góp theo huy động để thực hiện đầu tư (i),118.285.360.000,63.308.420.000,,,118285360000.0,63308420000.0
Công ty Cổ phần Đầu tư Văn Phú số 2,Công ty Cổ phần Đầu tư Văn Phú số 2,Công ty Cổ phần Đầu tư Văn Phú số 2,Công ty con,Góp vốn hợp tác đầu tư,-,35.580.385.000,,,,35580385000.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,118.285.360.000,98.888.805.000,,,118285360000.0,98888805000.0
