row_label_raw,row_label_full,Các bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Năm nay,Năm trước,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Năm nay,numeric__Năm trước
Công ty TNHH MTV Đầu tư Văn Phú - Giảng Võ,Công ty TNHH MTV Đầu tư Văn Phú - Giảng Võ,Công ty TNHH MTV Đầu tư Văn Phú - Giảng Võ,Công ty con,Doanh thu cung cấp dịch vụ,36.259.915.043,512.526.589,,,36259915043.0,512526589.0
Công ty TNHH MTV Đầu tư Văn Phú - Giảng Võ,Công ty TNHH MTV Đầu tư Văn Phú - Giảng Võ,Công ty TNHH MTV Đầu tư Văn Phú - Giảng Võ,Công ty con,Lợi nhuận được chia,355.000.000.000,-,,,355000000000.0,
Công ty TNHH MTV Đầu tư Văn Phú - Giảng Võ,Công ty TNHH MTV Đầu tư Văn Phú - Giảng Võ,Công ty TNHH MTV Đầu tư Văn Phú - Giảng Võ,Công ty con,Cho vay,69.500.000.000,314.310.000.000,,,69500000000.0,314310000000.0
Công ty TNHH MTV Đầu tư Văn Phú - Giảng Võ,Công ty TNHH MTV Đầu tư Văn Phú - Giảng Võ,Công ty TNHH MTV Đầu tư Văn Phú - Giảng Võ,Công ty con,Thu hồi gốc cho vay,134.960.000.000,250.000.000.000,,,134960000000.0,250000000000.0
Công ty TNHH MTV Đầu tư Văn Phú - Giảng Võ,Công ty TNHH MTV Đầu tư Văn Phú - Giảng Võ,Công ty TNHH MTV Đầu tư Văn Phú - Giảng Võ,Công ty con,Thu hồi tiền đặt cọc góp vốn hợp tác đầu tư,140.000.000.000,-,,,140000000000.0,
Công ty TNHH MTV Đầu tư Văn Phú - Giảng Võ,Công ty TNHH MTV Đầu tư Văn Phú - Giảng Võ,Công ty TNHH MTV Đầu tư Văn Phú - Giảng Võ,Công ty con,Thu tiền bồi thường do thanh lý Hợp đồng nguyên tắc trước thời hạn,10.000.000.000,-,,,10000000000.0,
Công ty Cổ phần Đầu tư Văn Phú số 2,Công ty Cổ phần Đầu tư Văn Phú số 2,Công ty Cổ phần Đầu tư Văn Phú số 2,Công ty con,Thu hồi tiền vốn góp hợp tác đầu tư,35.580.385.000,-,,,35580385000.0,
Công ty TNHH Văn Phú - CGM,Công ty TNHH Văn Phú - CGM,Công ty TNHH Văn Phú - CGM,Công ty con,Mua dịch vụ,246.665.774.087,251.426.846.569,,,246665774087.0,251426846569.0
Công ty Cổ phần Văn Phú Homes,Công ty Cổ phần Văn Phú Homes,Công ty Cổ phần Văn Phú Homes,Công ty con,Mua dịch vụ,7.693.708.804,8.408.390.970,,,7693708804.0,8408390970.0
Công ty TNHH Nông dược Trường Minh,Công ty TNHH Nông dược Trường Minh,Công ty TNHH Nông dược Trường Minh,Công ty có cùng thành viên quản lý chủ chốt,Góp vốn,20.500.000.000,25.000.000.000,,,20500000000.0,25000000000.0
Công ty Cổ phần Kinh doanh Địa ốc Văn Phú,Công ty Cổ phần Kinh doanh Địa ốc Văn Phú,Công ty Cổ phần Kinh doanh Địa ốc Văn Phú,Công ty liên kết,Mua dịch vụ,31.035.852.773,41.058.514.156,,,31035852773.0,41058514156.0
