row_label_raw,row_label_full,col_0,Số cuối năm > Tổng số,Số cuối năm > Cổ phiếu thường,Đơn vị tính: VND > Số đầu năm,Đơn vị tính: VND > Số đầu năm_1,numeric__Số cuối năm > Tổng số,numeric__Số cuối năm > Cổ phiếu thường,numeric__Đơn vị tính: VND > Số đầu năm,numeric__Đơn vị tính: VND > Số đầu năm_1
,,,Tổng số,Cổ phiếu thường,Tổng số,Cổ phiếu thường,,,,
Vốn góp từ cổ đông,Vốn góp từ cổ đông,Vốn góp từ cổ đông,1.999.999.000.000,1.999.999.000.000,1.600.000.000.000,1.600.000.000.000,1999999000000.0,1999999000000.0,1600000000000.0,1600000000000.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.999.999.000.000,1.999.999.000.000,1.600.000.000.000,1.600.000.000.000,1999999000000.0,1999999000000.0,1600000000000.0,1600000000000.0
