row_label_raw,row_label_full,Mã số,CHỈ TIÊU,Thuyết minh,Năm nay,Năm trước (Trình bày lại),numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước (Trình bày lại)
,,,I. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,,,,,,,
01,01,01,Lợi nhuận trước thuếĐiều chỉnh cho các khoản:,,257.399.939.740,295.050.219.652,,,257399939740.0,295050219652.0
02,02,02,Khấu hao tài sản cố định,,18.172.111.747,3.757.180.873,,,18172111747.0,3757180873.0
03,03,03,Các khoản dự phòng,,4.461.820.149,-,,,4461820149.0,
05,05,05,Lãi từ hoạt động đầu tư,,(391.990.442.112),(30.700.359.290),,,-391990442112.0,-30700359290.0
06,06,06,Chi phí lãi vay (bao gồm chi phí phát hành trái phiếu phân bổ trong năm),23,173.144.818.347,136.432.038.998,,23.0,173144818347.0,136432038998.0
08,08,08,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,,61.188.247.871,404.539.080.233,,,61188247871.0,404539080233.0
09,09,09,Giảm/(tăng) các khoản phải thu,,137.204.600.827,(796.645.933.114),,,137204600827.0,-796645933114.0
10,10,10,(Tăng)/giảm hàng tồn kho,,(399.460.149.982),699.321.736.220,,,-399460149982.0,699321736220.0
11,11,11,Tăng các khoản phải trả,,1.503.110.861.874,128.199.420.980,,,1503110861874.0,128199420980.0
12,12,12,Tăng chi phí trả trước,,(124.962.079.612),(251.021.804.655),,,-124962079612.0,-251021804655.0
14,14,14,Tiền lãi vay đã trả,,(178.549.418.685),(147.444.427.899),,,-178549418685.0,-147444427899.0
15,15,15,Thuế thu nhập doanh nghiệp đã nộp,,(58.467.521.333),(81.178.484.848),,,-58467521333.0,-81178484848.0
20,20,20,Lưu chuyển tiền thuần từ/(sử dụng vào) hoạt động kinh doanh,,940.064.540.960,(44.230.413.083),,,940064540960.0,-44230413083.0
,,,II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,,,,,
21,21,21,"Tiền chi để mua sắm, xây dựng tài sản cố định (TSCĐ) và các tài sản dài hạn khác",,(189.038.547.590),(397.786.381.293),,,-189038547590.0,-397786381293.0
22,22,22,"Tiền thu do thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",,1.454.545.455,-,,,1454545455.0,
23,23,23,"Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",,(191.900.000.000),(314.310.000.000),,,-191900000000.0,-314310000000.0
24,24,24,"Tiền thu hồi cho vay, bán lại công cụ nợ của đơn vị khác",,319.387.671.233,252.500.000.000,,,319387671233.0,252500000000.0
25,25,25,Tiền chi đầu tư góp vốn vào đơn vị khác,,(631.940.000.000),(125.413.635.000),,,-631940000000.0,-125413635000.0
26,26,26,Tiền thu hồi đầu tư góp vốn vào đơn vị khác,,213.500.000.000,414.000.000.000,,,213500000000.0,414000000000.0
27,27,27,"Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",,381.677.591.049,12.606.549.140,,,381677591049.0,12606549140.0
30,30,30,Lưu chuyển tiền thuần sử dụng vào hoạt động đầu tư,,(96.858.739.853),(158.403.467.153),,,-96858739853.0,-158403467153.0
