row_label_raw,row_label_full,col_0,Số cuối năm,Số cuối năm > Giá trị (VND),Số cuối năm > Tỷ lệ vốn năm giữ trực tiếp,Số cuối năm > Tỷ lệ biểu quyết,Số đầu năm > Giá trị (VND),Số đầu năm > Giá trị hợp lý (VND),Số đầu năm > Tỷ lệ vốn năm giữ trực tiếp,Số đầu năm > Tỷ lệ biểu quyết,numeric__Số cuối năm,numeric__Số cuối năm > Giá trị (VND),numeric__Số cuối năm > Tỷ lệ vốn năm giữ trực tiếp,numeric__Số cuối năm > Tỷ lệ biểu quyết,numeric__Số đầu năm > Giá trị (VND),numeric__Số đầu năm > Giá trị hợp lý (VND),numeric__Số đầu năm > Tỷ lệ vốn năm giữ trực tiếp,numeric__Số đầu năm > Tỷ lệ biểu quyết
Công ty TNHH Văn Phú Resort – Lộc Bình,Công ty TNHH Văn Phú Resort – Lộc Bình,Công ty TNHH Văn Phú Resort – Lộc Bình,550.000.000.000,(iii),100%,100%,550.000.000.000,(iii),100%,100%,550000000000.0,,1.0,1.0,550000000000.0,,1.0,1.0
Công ty TNHH MTV Đầu tư Văn Phú - Giảng Võ,Công ty TNHH MTV Đầu tư Văn Phú - Giảng Võ,Công ty TNHH MTV Đầu tư Văn Phú - Giảng Võ,428.000.000.000,(iii),100%,100%,428.000.000.000,(iii),100%,100%,428000000000.0,,1.0,1.0,428000000000.0,,1.0,1.0
Công ty Cổ phần Đầu tư Văn Phú số 2,Công ty Cổ phần Đầu tư Văn Phú số 2,Công ty Cổ phần Đầu tư Văn Phú số 2,163.031.250.000,(iii),"78,5%","78,5%",163.031.250.000,(iii),"78,5%","78,5%",163031250000.0,,0.785,0.785,163031250000.0,,0.785,0.785
Công ty Cổ phần Đầu tư Văn Phú số 1,Công ty Cổ phần Đầu tư Văn Phú số 1,Công ty Cổ phần Đầu tư Văn Phú số 1,102.845.000.000,(iii),67%,67%,102.845.000.000,(iii),67%,67%,102845000000.0,,0.67,0.67,102845000000.0,,0.67,0.67
Công ty Cổ phần Văn Phú Bắc Ái,Công ty Cổ phần Văn Phú Bắc Ái,Công ty Cổ phần Văn Phú Bắc Ái,90.000.000.000,(iii),60%,60%,90.000.000.000,(iii),60%,60%,90000000000.0,,0.6,0.6,90000000000.0,,0.6,0.6
Công ty TNHH Nồng được Trường Minh (i),Công ty TNHH Nồng được Trường Minh (i),Công ty TNHH Nồng được Trường Minh (i),-,-,-,-,35.500.000.000,(iii),100%,100%,,,,,35500000000.0,,1.0,1.0
Công ty TNHH Dịch vụ Du lịch Lâm Viên (ii),Công ty TNHH Dịch vụ Du lịch Lâm Viên (ii),Công ty TNHH Dịch vụ Du lịch Lâm Viên (ii),40.500.000.000,(iii),100%,100%,-,-,-,-,40500000000.0,,1.0,1.0,,,,
Công ty TNHH Văn Phú – CGM,Công ty TNHH Văn Phú – CGM,Công ty TNHH Văn Phú – CGM,35.800.000.000,(iii),100%,100%,35.800.000.000,(iii),100%,100%,35800000000.0,,1.0,1.0,35800000000.0,,1.0,1.0
Công ty Cổ phần Văn Phú Homes,Công ty Cổ phần Văn Phú Homes,Công ty Cổ phần Văn Phú Homes,570.000.000,(iii),"62,64%",70%,570.000.000,(iii),"62,64%",70%,570000000.0,,0.6264,0.7,570000000.0,,0.6264,0.7
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.410.746.250.000,,,,1.405.746.250.000,,,,1410746250000.0,,,,1405746250000.0,,,
