row_label_raw,row_label_full,Tên đơn vị,Số cuối năm > Giá trị (VND),Số cuối năm > Giá trị hợp lý (VND),Số đầu năm > Giá trị (VND),Số đầu năm > Giá trị hợp lý (VND),numeric__Số cuối năm > Giá trị (VND),numeric__Số cuối năm > Giá trị hợp lý (VND),numeric__Số đầu năm > Giá trị (VND),numeric__Số đầu năm > Giá trị hợp lý (VND)
Công ty TNHH Đầu tư Cần Khương (i),Công ty TNHH Đầu tư Cần Khương (i),Công ty TNHH Đầu tư Cần Khương (i),367.500.000.000,(*),-,,367500000000.0,,,
Công ty Cổ phần Đầu tư và Phát triển Thương mại Văn Phú,Công ty Cổ phần Đầu tư và Phát triển Thương mại Văn Phú,Công ty Cổ phần Đầu tư và Phát triển Thương mại Văn Phú,278.006.400.000,(*),278.006.400.000,(*),278006400000.0,,278006400000.0,
Công ty Cổ phần Đầu tư BOT Hà Nội – Bắc Giang,Công ty Cổ phần Đầu tư BOT Hà Nội – Bắc Giang,Công ty Cổ phần Đầu tư BOT Hà Nội – Bắc Giang,163.786.400.000,(*),163.786.400.000,(*),163786400000.0,,163786400000.0,
Công ty TNHH BT Hà Đông,Công ty TNHH BT Hà Đông,Công ty TNHH BT Hà Đông,52.402.886.097,(*),50.902.886.097,(*),52402886097.0,,50902886097.0,
Công ty Cổ phần In và Văn hóa phẩm,Công ty Cổ phần In và Văn hóa phẩm,Công ty Cổ phần In và Văn hóa phẩm,33.777.503.175,(*),33.777.503.175,(*),33777503175.0,,33777503175.0,
Công ty Cổ phần Đầu tư - Kinh doanh Bất động sản Trần Việt (ii),Công ty Cổ phần Đầu tư - Kinh doanh Bất động sản Trần Việt (ii),Công ty Cổ phần Đầu tư - Kinh doanh Bất động sản Trần Việt (ii),27.440.000.000,(*),-,,27440000000.0,,,
Công ty Cổ phần Kinh doanh Địa ốc Văn Phú,Công ty Cổ phần Kinh doanh Địa ốc Văn Phú,Công ty Cổ phần Kinh doanh Địa ốc Văn Phú,2.160.000.000,(*),2.160.000.000,(*),2160000000.0,,2160000000.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,925.073.189.272,,528.633.189.272,,925073189272.0,,528633189272.0,
