row_label_raw,row_label_full,Các bên liên quan > Phải trả người bán ngắn hạn (Thuyết minh số 15.1),Mối quan hệ > Phải trả người bán ngắn hạn (Thuyết minh số 15.1),Nội dung nghiệp vụ > Phải trả người bán ngắn hạn (Thuyết minh số 15.1),Số cuối năm > Phải trả người bán ngắn hạn (Thuyết minh số 15.1),Số đầu năm > Phải trả người bán ngắn hạn (Thuyết minh số 15.1),numeric__Mối quan hệ > Phải trả người bán ngắn hạn (Thuyết minh số 15.1),numeric__Nội dung nghiệp vụ > Phải trả người bán ngắn hạn (Thuyết minh số 15.1),numeric__Số cuối năm > Phải trả người bán ngắn hạn (Thuyết minh số 15.1),numeric__Số đầu năm > Phải trả người bán ngắn hạn (Thuyết minh số 15.1)
Công ty TNHH Văn Phú - CGM,Công ty TNHH Văn Phú - CGM,Công ty TNHH Văn Phú - CGM,Công ty con,Nhận cung cấp dịch vụ,35.388.643.039,5.466.253.749,,,35388643039.0,5466253749.0
Công ty Cổ phần Kinh doanh Địa ốc Văn Phú,Công ty Cổ phần Kinh doanh Địa ốc Văn Phú,Công ty Cổ phần Kinh doanh Địa ốc Văn Phú,Công ty liên kết,Nhận cung cấp dịch vụ,5.857.964.324,3.269.350.928,,,5857964324.0,3269350928.0
Công ty Cổ phần Văn Phú Homes,Công ty Cổ phần Văn Phú Homes,Công ty Cổ phần Văn Phú Homes,Công ty con,Nhận cung cấp dịch vụ,1.274.296.401,3.385.237.756,,,1274296401.0,3385237756.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,42.520.903.764,12.120.842.433,,,42520903764.0,12120842433.0
Phải trả ngắn hạn khác (Thuyết minh số 18),Phải trả ngắn hạn khác (Thuyết minh số 18),Phải trả ngắn hạn khác (Thuyết minh số 18),Phải trả ngắn hạn khác (Thuyết minh số 18),Phải trả ngắn hạn khác (Thuyết minh số 18),Phải trả ngắn hạn khác (Thuyết minh số 18),Phải trả ngắn hạn khác (Thuyết minh số 18),,,,
Công ty Cổ phần Đầu tư và Phát triển Thương mại Văn Phú,Phải trả ngắn hạn khác (Thuyết minh số 18) > Công ty Cổ phần Đầu tư và Phát triển Thương mại Văn Phú,Công ty Cổ phần Đầu tư và Phát triển Thương mại Văn Phú,Công ty liên kết,Nhận góp vốn hợp tác đầu tư,1.461.684.636,1.461.684.636,,,1461684636.0,1461684636.0
Công ty Cổ phần Đầu tư Văn Phú - Land,Phải trả ngắn hạn khác (Thuyết minh số 18) > Công ty Cổ phần Đầu tư Văn Phú - Land,Công ty Cổ phần Đầu tư Văn Phú - Land,Cùng thành viên Ban Tổng Giám đốc,Nhận góp vốn hợp tác đầu tư,-,19.538.000.000,,,,19538000000.0
Hội đồng Quản trị và Ban kiểm soát,Phải trả ngắn hạn khác (Thuyết minh số 18) > Hội đồng Quản trị và Ban kiểm soát,Hội đồng Quản trị và Ban kiểm soát,,Phải trả thủ lao,198.000.000,207.000.000,,,198000000.0,207000000.0
TỔNG CỘNG,Phải trả ngắn hạn khác (Thuyết minh số 18) > TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.659.684.636,21.206.684.636,,,1659684636.0,21206684636.0
Phải trả dài hạn khác (Thuyết minh số 18),Phải trả dài hạn khác (Thuyết minh số 18),Phải trả dài hạn khác (Thuyết minh số 18),Phải trả dài hạn khác (Thuyết minh số 18),Phải trả dài hạn khác (Thuyết minh số 18),Phải trả dài hạn khác (Thuyết minh số 18),Phải trả dài hạn khác (Thuyết minh số 18),,,,
Công ty Cổ phần Tập đoàn Phú Mỹ,Phải trả dài hạn khác (Thuyết minh số 18) > Công ty Cổ phần Tập đoàn Phú Mỹ,Công ty Cổ phần Tập đoàn Phú Mỹ,Cùng thành viên Hội đồng Quản trị,Nhận góp vốn hợp tác đầu tư,1.297.290.000,1.297.290.000,,,1297290000.0,1297290000.0
TỔNG CỘNG,Phải trả dài hạn khác (Thuyết minh số 18) > TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.297.290.000,1.297.290.000,,,1297290000.0,1297290000.0
