row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị,Số cuối năm > Dự > phòng,Đơn vị tính: VND > Số đầu năm > Giá trị,Đơn vị tính: VND > Số đầu năm > phòng,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Dự > phòng,numeric__Đơn vị tính: VND > Số đầu năm > Giá trị,numeric__Đơn vị tính: VND > Số đầu năm > phòng
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,,,
Lãi cho vay dự thu,Ngắn hạn > Lãi cho vay dự thu,Lãi cho vay dự thu,32.243.900.303,-,20.052.089.802,-,32243900303.0,,20052089802.0,
Đặt cọc thực hiện hợp đồng (*),Ngắn hạn > Đặt cọc thực hiện hợp đồng (*),Đặt cọc thực hiện hợp đồng (*),232.000.000.000,-,-,-,232000000000.0,,,
Tạm ứng cho nhân viên,Ngắn hạn > Tạm ứng cho nhân viên,Tạm ứng cho nhân viên,626.625.500,-,2.265.924.826,-,626625500.0,,2265924826.0,
Phải thu ngắn hạn khác,Ngắn hạn > Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,3.725.073.622,-,4.504.034.144,-,3725073622.0,,4504034144.0,
Phải thu ngắn hạn khác từ các bênliên quan (Thuyết minh số 28),Ngắn hạn > Phải thu ngắn hạn khác từ các bênliên quan (Thuyết minh số 28),Phải thu ngắn hạn khác từ các bênliên quan (Thuyết minh số 28),550.000.000,-,142.406.018.288,-,550000000.0,,142406018288.0,
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,269.145.599.425,-,169.228.067.060,-,269145599425.0,,169228067060.0,
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,,,
Đặt cọc hợp tác đầu tư (**),Dài hạn > Đặt cọc hợp tác đầu tư (**),Đặt cọc hợp tác đầu tư (**),230.000.000.000,-,32.000.000.000,-,230000000000.0,,32000000000.0,
Ký quỹ thực hiện Dự án (***),Dài hạn > Ký quỹ thực hiện Dự án (***),Ký quỹ thực hiện Dự án (***),45.029.591.900,-,10.509.398.900,-,45029591900.0,,10509398900.0,
Phải thu dài hạn khác,Dài hạn > Phải thu dài hạn khác,Phải thu dài hạn khác,7.943.164.988,-,6.433.856.882,-,7943164988.0,,6433856882.0,
Phải thu dài hạn khác từ các bênliên quan (Thuyết minh số 28),Dài hạn > Phải thu dài hạn khác từ các bênliên quan (Thuyết minh số 28),Phải thu dài hạn khác từ các bênliên quan (Thuyết minh số 28),118.285.360.000,-,98.888.805.000,-,118285360000.0,,98888805000.0,
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,401.258.116.888,-,147.832.060.782,-,401258116888.0,,147832060782.0,
