row_label_raw,row_label_full,Tên đơn vị,Địa chỉ,Hoạt động chính,Số cuối năm > Tỷ lệ vốnnăm giữ trực tiếp(%),Số cuối năm > Tỷ lệ quyềnbiểu quyết(%),Số đầu năm > Tỷ lệ vốnnăm giữ trực tiếp(%),Số đầu năm > Tỷ lệ quyềnbiểu quyết(%),numeric__Địa chỉ,numeric__Hoạt động chính,numeric__Số cuối năm > Tỷ lệ vốnnăm giữ trực tiếp(%),numeric__Số cuối năm > Tỷ lệ quyềnbiểu quyết(%),numeric__Số đầu năm > Tỷ lệ vốnnăm giữ trực tiếp(%),numeric__Số đầu năm > Tỷ lệ quyềnbiểu quyết(%)
Công ty Cổ phần Đầu tư và Phát triểnThương mại Văn Phú,Công ty Cổ phần Đầu tư và Phát triểnThương mại Văn Phú,Công ty Cổ phần Đầu tư và Phát triểnThương mại Văn Phú,"Tầng 1-4, tòa V1 The Van Phu Victoria, CT9, Khu đô thị Văn Phú, Phường Phúc La, Quận Hà Đông, Thành phố Hà Nội",Kinh doanh bất động sản,"35,00","35,00","35,00","35,00",,,35.0,35.0,35.0,35.0
Công ty Cổ phần Đầu tư BOT Hà Nội – Bắc Giang,Công ty Cổ phần Đầu tư BOT Hà Nội – Bắc Giang,Công ty Cổ phần Đầu tư BOT Hà Nội – Bắc Giang,"Số 14, lỗ B1, Khu đô thị mới Nam Từ Sơn, Phường Phù Chẩn, Thị xã Từ Sơn, Tĩnh Bắc Ninh",Xây dựng và thu phí đường bộ,"33,00","33,00","33,00","33,00",,,33.0,33.0,33.0,33.0
Công ty Cổ phần In và Văn hóa phẩm,Công ty Cổ phần In và Văn hóa phẩm,Công ty Cổ phần In và Văn hóa phẩm,"Số 83, đường Hào Nam, Phường Ô Chợ Dừa, Quận Đống Đa, Thành phố Hà Nội",Xây dựng và in ấn,"46,77","46,77","46,77","46,77",,,46.77,46.77,46.77,46.77
Công ty TNHH BT Hà Đông,Công ty TNHH BT Hà Đông,Công ty TNHH BT Hà Đông,"Số 12, đường Khuất Duy Tiến, Phường Thanh Xuân Trung, Quận Thanh Xuân, Thành phố Hà Nội",Xây dựng công trình kỹ thuật dân dụng,"50,24","50,00","52,49","50,00",,,50.24,50.0,52.49,50.0
Công ty Cổ phần Kinh doanh Địa ốc Văn Phú,Công ty Cổ phần Kinh doanh Địa ốc Văn Phú,Công ty Cổ phần Kinh doanh Địa ốc Văn Phú,"Số 104 Thái Thỉnh, Phường Trung Liệt, Quận Đống Đa, Thành phố Hà Nội, Việt Nam","Tự vấn, môi giới, đấu giá bất động sản","43,90","36,00","43,90","36,00",,,43.9,36.0,43.9,36.0
Công ty TNHH Đầu tư Cần Khương,Công ty TNHH Đầu tư Cần Khương,Công ty TNHH Đầu tư Cần Khương,"Số 9C, Đường Trần Phú, Phường Cái Khế, Quận Ninh Kiều, Thành phố Cần Thơ",Kinh doanh bất động sản,"49,00","49,00",-,-,,,49.0,49.0,,
Công ty Cổ phần Đầu tư - Kinh doanh Bất động sản Trần Việt,Công ty Cổ phần Đầu tư - Kinh doanh Bất động sản Trần Việt,Công ty Cổ phần Đầu tư - Kinh doanh Bất động sản Trần Việt,"Số 285 Nguyễn Du, Phường Nghĩa Chánh, Thành phố Quảng Ngãi, Tĩnh Quảng Ngãi",Kinh doanh bất động sản,"49,00","49,00",-,-,,,49.0,49.0,,
Công ty TNHH Công viên Trung Văn,Công ty TNHH Công viên Trung Văn,Công ty TNHH Công viên Trung Văn,"Nhà 24B/1 Khu nhà ở Phú Mỹ, số 24 Ngô Quyền, Phường Vạn Phúc, Quận Hà Đông, Thành phố Hà Nội",Kinh doanh bất động sản,(*),"40,00",-,-,,,,40.0,,
