row_label_raw,row_label_full,Công ty Cổ phần Kinh doanh Dịch vụ cao cấp Dầu khí Việt Nam (PVR),Số cuối năm > Giá gốc > 10.000.000.000,Số cuối năm > Giá trị có thể thu hồi > -,Đơn vị tính: VND > Số đầu năm > Giá gốc > 10.000.000.000,Đơn vị tính: VND > Số đầu năm > Giá trị có thể thu hồi > -,numeric__Số cuối năm > Giá gốc > 10.000.000.000,numeric__Số cuối năm > Giá trị có thể thu hồi > -,numeric__Đơn vị tính: VND > Số đầu năm > Giá gốc > 10.000.000.000,numeric__Đơn vị tính: VND > Số đầu năm > Giá trị có thể thu hồi > -
Các đối tượng khác,Các đối tượng khác,Các đối tượng khác,607.504.257,-,607.504.257,-,607504257.0,,607504257.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,10.607.504.257,-,10.607.504.257,-,10607504257.0,,10607504257.0,
