row_label_raw,row_label_full,col_0,Số đầu năm,Số phải nộp trong năm,Số đã nộp/bù trừ trong năm,Đơn vị tính: VND > Số cuối năm,numeric__Số đầu năm,numeric__Số phải nộp trong năm,numeric__Số đã nộp/bù trừ trong năm,numeric__Đơn vị tính: VND > Số cuối năm
Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,,,,
Thuế giá trị gia tăng,Phải nộp > Thuế giá trị gia tăng,Thuế giá trị gia tăng,-,36.492.541.995,(26.667.143.823),9.825.398.172,,36492541995.0,-26667143823.0,9825398172.0
Thuế thu nhập doanh nghiệp (*),Phải nộp > Thuế thu nhập doanh nghiệp (*),Thuế thu nhập doanh nghiệp (*),58.284.518.891,16.820.424.097,(68.821.911.580),6.283.031.408,58284518891.0,16820424097.0,-68821911580.0,6283031408.0
Thuế thu nhập cá nhân,Phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,948.403.676,9.013.774.039,(9.390.781.847),571.395.868,948403676.0,9013774039.0,-9390781847.0,571395868.0
Các loại thuế khác,Phải nộp > Các loại thuế khác,Các loại thuế khác,-,709.422.102,(675.577.215),33.844.887,,709422102.0,-675577215.0,33844887.0
TỔNG CỘNG,Phải nộp > TỔNG CỘNG,TỔNG CỘNG,59.232.922.567,63.036.162.233,(105.555.414.465),16.713.670.335,59232922567.0,63036162233.0,-105555414465.0,16713670335.0
