row_label_raw,row_label_full,Tên,Chức vụ,Đơn vị tính: VND,Đơn vị tính: VND_1,numeric__Chức vụ,numeric__Đơn vị tính: VND,numeric__Đơn vị tính: VND_1
Tên,Tên,Tên,Chức vụ,Thu nhập,Thu nhập,,,
Tên,Tên,Tên,Chức vụ,Năm nay,Năm trước,,,
Ông Tô Như Toàn,Tên > Ông Tô Như Toàn,Ông Tô Như Toàn,Chủ tịch HĐQT/ Cổ vấn cao cấp,2.581.713.600,2.847.124.435,,2581713600.0,2847124435.0
Ông Ngô Đức Long,Tên > Ông Ngô Đức Long,Ông Ngô Đức Long,Phụ trách quản trị,115.000.000,120.000.000,,115000000.0,120000000.0
Ông Phạm Hồng Châu,Tên > Ông Phạm Hồng Châu,Ông Phạm Hồng Châu,Ủy viên HĐQT/ Phó Tổng Giám đốc,1.090.195.403,1.170.944.800,,1090195403.0,1170944800.0
Bà Nguyễn Diệu Tú,Tên > Bà Nguyễn Diệu Tú,Bà Nguyễn Diệu Tú,Ủy viên HĐQT,115.000.000,120.000.000,,115000000.0,120000000.0
Ông Trịnh Thanh Hải,Tên > Ông Trịnh Thanh Hải,Ông Trịnh Thanh Hải,Ủy viên HĐQT,383.333.333,333.333.333,,383333333.0,333333333.0
Ông Đoàn Châu Phong,Tên > Ông Đoàn Châu Phong,Ông Đoàn Châu Phong,Tổng Giám đốc,2.109.745.762,1.978.182.004,,2109745762.0,1978182004.0
Ông Tô Như Thắng,Tên > Ông Tô Như Thắng,Ông Tô Như Thắng,Phó Tổng Giám đốc/ Thành viên HĐQT,1.573.658.800,1.946.653.448,,1573658800.0,1946653448.0
Ông Lâm Hoàng Đăng,Tên > Ông Lâm Hoàng Đăng,Ông Lâm Hoàng Đăng,Phó Tổng Giám đốc,1.106.439.700,1.839.933.190,,1106439700.0,1839933190.0
Ông Nguyễn Minh Nguyên,Tên > Ông Nguyễn Minh Nguyên,Ông Nguyễn Minh Nguyên,Phó Tổng Giám đốc,549.816.500,1.788.080.335,,549816500.0,1788080335.0
Bà Nguyễn Thu Hằng,Tên > Bà Nguyễn Thu Hằng,Bà Nguyễn Thu Hằng,Phó Tổng Giám đốc,940.302.023,-,,940302023.0,
TỔNG CỘNG,Tên > TỔNG CỘNG,TỔNG CỘNG,,10.565.205.121,12.144.251.545,,10565205121.0,12144251545.0
