row_label_raw,row_label_full,col_0,Số đầu năm > Giá trị,Số đầu năm > Số có khả năng trả nợ,Số phát sinh trong năm > Tăng,Số phát sinh trong năm > Giảm,Số cuối năm > Giá trị,Số cuối năm > Số có khả năng trả nợ,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Số có khả năng trả nợ,numeric__Số phát sinh trong năm > Tăng,numeric__Số phát sinh trong năm > Giảm,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Số có khả năng trả nợ
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,,,,,
Vay ngân hàng(Thuyết minh 19.1),Vay ngắn hạn > Vay ngân hàng(Thuyết minh 19.1),Vay ngân hàng(Thuyết minh 19.1),464.775.571.673,464.775.571.673,283.415.431.670,(292.737.179.217),455.453.824.126,455.453.824.126,464775571673.0,464775571673.0,283415431670.0,-292737179217.0,455453824126.0,455453824126.0
Vay đối tượng khác(Thuyết minh 19.3),Vay ngắn hạn > Vay đối tượng khác(Thuyết minh 19.3),Vay đối tượng khác(Thuyết minh 19.3),183.500.000.000,183.500.000.000,88.100.000.000,(242.700.000.000),28.900.000.000,28.900.000.000,183500000000.0,183500000000.0,88100000000.0,-242700000000.0,28900000000.0,28900000000.0
Trái phiếu phát hànhdài hạn đến hạn trả(Thuyết minh 19.4),Vay ngắn hạn > Trái phiếu phát hànhdài hạn đến hạn trả(Thuyết minh 19.4),Trái phiếu phát hànhdài hạn đến hạn trả(Thuyết minh 19.4),398.381.028.463,398.381.028.463,201.309.149.122,(400.000.000.000),199.690.177.585,199.690.177.585,398381028463.0,398381028463.0,201309149122.0,-400000000000.0,199690177585.0,199690177585.0
,,,1.046.656.600.136,1.046.656.600.136,572.824.580.792,(935.437.179.217),684.044.001.711,684.044.001.711,1046656600136.0,1046656600136.0,572824580792.0,-935437179217.0,684044001711.0,684044001711.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,,,,,,
Vay ngân hàng(Thuyết minh 19.2),Vay dài hạn > Vay ngân hàng(Thuyết minh 19.2),Vay ngân hàng(Thuyết minh 19.2),216.717.589.179,216.717.589.179,-,-,216.717.589.179,216.717.589.179,216717589179.0,216717589179.0,,,216717589179.0,216717589179.0
Trái phiếu phát hành(Thuyết minh 19.4),Vay dài hạn > Trái phiếu phát hành(Thuyết minh 19.4),Trái phiếu phát hành(Thuyết minh 19.4),697.672.954.299,697.672.954.299,377.460.085.152,(798.298.139.423),276.834.900.028,276.834.900.028,697672954299.0,697672954299.0,377460085152.0,-798298139423.0,276834900028.0,276834900028.0
,,,914.390.543.478,914.390.543.478,377.460.085.152,(798.298.139.423),493.552.489.207,493.552.489.207,914390543478.0,914390543478.0,377460085152.0,-798298139423.0,493552489207.0,493552489207.0
TỔNG CỘNG,Vay dài hạn > TỔNG CỘNG,TỔNG CỘNG,1.961.047.143.614,1.961.047.143.614,950.284.665.944,(1.733.735.318.640),1.177.596.490.918,1.177.596.490.918,1961047143614.0,1961047143614.0,950284665944.0,-1733735318640.0,1177596490918.0,1177596490918.0
