row_label_raw,row_label_full,"Các chênh lệch tạm thời, trong đó:","Các chênh lệch tạm thời, trong đó:_1","numeric__Các chênh lệch tạm thời, trong đó:_1"
Lỗ tính thuế,Lỗ tính thuế,Lỗ tính thuế,111.592.550.520,111592550520.0
Chênh lệch phân bổ công cụ dụng cụ,Chênh lệch phân bổ công cụ dụng cụ,Chênh lệch phân bổ công cụ dụng cụ,27.247.548.211,27247548211.0
Chi phí lãi vay chưa được khấu trừ theo quy định của Nghị định số 132/2020/NĐ-CP,Chi phí lãi vay chưa được khấu trừ theo quy định của Nghị định số 132/2020/NĐ-CP,Chi phí lãi vay chưa được khấu trừ theo quy định của Nghị định số 132/2020/NĐ-CP,13.967.219.240,13967219240.0
