row_label_raw,row_label_full,col_0,Số cuối năm,Ngàn VND Số đầu năm,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Phải trả tiền mượn từ các cá nhân và các công ty (i),Ngắn hạn > Phải trả tiền mượn từ các cá nhân và các công ty (i),Phải trả tiền mượn từ các cá nhân và các công ty (i),377.057.289,409.959.046,377057289.0,409959046.0
Phải trả do thu hộ,Ngắn hạn > Phải trả do thu hộ,Phải trả do thu hộ,27.922.021,37.681.664,27922021.0,37681664.0
Khác,Ngắn hạn > Khác,Khác,2.925.759,20.832.181,2925759.0,20832181.0
,,,407.905.069,468.472.891,407905069.0,468472891.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Phải trả do thu hộ,Dài hạn > Phải trả do thu hộ,Phải trả do thu hộ,7.666.626,7.666.626,7666626.0,7666626.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,415.571.695,476.139.517,415571695.0,476139517.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải trả ngắn hạn các bên liên quan (TM số 28),Trong đó: > Phải trả ngắn hạn các bên liên quan (TM số 28),Phải trả ngắn hạn các bên liên quan (TM số 28),345.595.002,412.207.744,345595002.0,412207744.0
Phải trả các bên thứ ba,Trong đó: > Phải trả các bên thứ ba,Phải trả các bên thứ ba,69.976.693,63.931.773,69976693.0,63931773.0
