row_label_raw,row_label_full,col_0,Năm nay,Ngàn VNDNăm trước,numeric__Năm nay,numeric__Ngàn VNDNăm trước
Thu nhập khác,Thu nhập khác,Thu nhập khác,Thu nhập khác,Thu nhập khác,,
Lãi thanh lý TSCĐ,Thu nhập khác > Lãi thanh lý TSCĐ,Lãi thanh lý TSCĐ,188.348,137.177.515,188348.0,137177515.0
Thu nhập khác,Thu nhập khác > Thu nhập khác,Thu nhập khác,224.641,9.536,224641.0,9536.0
,,,412.989,137.187.051,412989.0,137187051.0
Chi phí khác,Chi phí khác,Chi phí khác,Chi phí khác,Chi phí khác,,
Các khoản phạt,Chi phí khác > Các khoản phạt,Các khoản phạt,2.099.631,355.034,2099631.0,355034.0
Khấu hao TSCĐ không sử dụng,Chi phí khác > Khấu hao TSCĐ không sử dụng,Khấu hao TSCĐ không sử dụng,266.465,-,266465.0,
Xóa số công nợ,Chi phí khác > Xóa số công nợ,Xóa số công nợ,18.721.950,223.316,18721950.0,223316.0
Chi phí khác,Chi phí khác > Chi phí khác,Chi phí khác,1.080.459,2.015.572,1080459.0,2015572.0
,,,22.168.505,2.593.922,22168505.0,2593922.0
(Lỗ) LỢI NHUẬN KHÁC THUÀN,Chi phí khác > (Lỗ) LỢI NHUẬN KHÁC THUÀN,(Lỗ) LỢI NHUẬN KHÁC THUÀN,(21.755.516),134.593.129,-21755516.0,134593129.0
