row_label_raw,row_label_full,Trái phiếu thường dài hạn (tiếp theo),Trái phiếu thường dài hạn (tiếp theo)_1,Trái phiếu thường dài hạn (tiếp theo)_2,Trái phiếu thường dài hạn (tiếp theo)_3,Trái phiếu thường dài hạn (tiếp theo)_4,Trái phiếu thường dài hạn (tiếp theo)_5,Trái phiếu thường dài hạn (tiếp theo)_6,numeric__Trái phiếu thường dài hạn (tiếp theo)_1,numeric__Trái phiếu thường dài hạn (tiếp theo)_2,numeric__Trái phiếu thường dài hạn (tiếp theo)_3,numeric__Trái phiếu thường dài hạn (tiếp theo)_4,numeric__Trái phiếu thường dài hạn (tiếp theo)_5,numeric__Trái phiếu thường dài hạn (tiếp theo)_6
Tổ chức thu xếp phát hành,Tổ chức thu xếp phát hành,Tổ chức thu xếp phát hành,Trái chủ,Số tiền (Ngàn VND),Lãi suất (%/năm),Ngày dẻo hạn cuối cùng,Mục đích,Tài sản thế chấp,,,,,,
BIDV và BSC,Tổ chức thu xếp phát hành > BIDV và BSC,BIDV và BSC,BIDV (*),3.105.000.000,"Trung bình công của lãi suất tiền gửi tiết kiệm cá nhân kỳ hạn mươi hai (12) tháng bằng VND được công bố tại Chi nhánh của bốn (4) Ngân hàng thương mại tại Tĩnh Gia Lai, bao gồm: Agribank, BIDV, Vietcombank và Vietinbank công với biển độ 3,00 (thực tế trong năm: 7,675% - 7.95%/ năm)",Ngày 30 tháng 12 năm 2026,Bổ sung vốn cho các dự án đầu tư và tải cấu trúc nợ vay của Tập đoàn,"Diện tích 4.852,74 ha cao su và Quyền thuê phát sinh theo Hợp đồng thuê đất, toán bộ tài sản là động sản, bắt động sản gắn liền với đất tại tỉnh Attapeu và tỉnh Sê Kông (Lào) do Công ty TNHH CN&NN Cao su Hoàng Anh - Quang Minh làm chủ sở hữu; 119 căn hộ chung cư cao cấp HAGL tại Pleiku thuộc sở hữu của Công ty; Nhà máy đá Granit Hoàng Anh Gia Lai tại QL14, xã la Băng, huyện Đắk Đoa thuộc sở hữu của Công ty; Quyền sử dụng đất tại phường Phú Đồng, TP.Pleiku, Tĩnh Gia Lai thuộc sở hữu của Công ty; 86.696.000 cổ phiếu HAG do Ông Đoàn Nguyên Đức sở hữu; Quyền sở hữu, khai thác rừng trồng 1.960,91 ha cao su tại tỉnh Ratanakiri, Campuchia của Công ty TNHH MTV Heng Brothers; Quyền sở hữu, khai thác rừng trồng 3.283,7 ha cao su tại tỉnh Ratanakiri, Campuchia của Công ty TNHH MTV C.R.D; Trụ sở văn phòng làm việc Hoàng Anh Gia Lai thuộc sở hữu của Công ty; Khu liên hợp Học viện bóng đã Hoàng Anh Gia Lai thuộc sở hữu của Công ty; 07 xe ô tô thuộc sở hữu của Công ty; 16,5 ha chuối trên đất thuộc Học viện bóng đã Hoàng Anh Gia Lai thuộc sở hữu của Công ty; 2 tầng khu thương mại thuộc Tổ hợp khu chung cư – Thương mại cao cấp Bầu Thạc Gián, Đà Nẵng thuộc sở hữu của Công ty; 91.375.000 cổ phiếu HNG thuộc sở hữu của Công ty; 335 ha chuối tại Attapeu, Lào thuộc Công ty MTV Phát triển Nông nghiệp Khân Xay; 2.789,7216 ha tại Stung treng, Campuchia thuộc Công ty TNHH sản xuất Bộ Mị; Nhà máy gỗ nội thất (tại Chư Prông, Gia Lai) thuộc Công ty Cổ phần Gõ Hoàng Anh Gia Lai; Máy móc thiết bị thuộc Công ty TNHH Hưng Thắng Lợi Gia Lai; 141,5988 ha tại Stung treng, Campuchia thuộc Công ty TNHH sản xuất Bộ Mị; 6.851 con heo giống của Công ty Cổ phần Gia súc Lơ Pang; 9.093 con heo giống của Công ty Cổ phần Chăn nuôi Gia Lai.",,3105000000.0,,,,
