row_label_raw,row_label_full,col_0,Năm nay,Ngân VNDNăm trước,numeric__Năm nay,numeric__Ngân VNDNăm trước
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Chi trả hộ,Ngắn hạn > Chi trả hộ,Chi trả hộ,1.892.832.548,1.656.776.869,1892832548.0,1656776869.0
Phải thu lãi cho vay,Ngắn hạn > Phải thu lãi cho vay,Phải thu lãi cho vay,42.487.317,561.927.329,42487317.0,561927329.0
Tạm ứng cho nhân viên,Ngắn hạn > Tạm ứng cho nhân viên,Tạm ứng cho nhân viên,10.190.992,2.831.040,10190992.0,2831040.0
Phải thu khác,Ngắn hạn > Phải thu khác,Phải thu khác,4.408.403,6.603.901,4408403.0,6603901.0
,,,1.949.919.260,2.228.139.139,1949919260.0,2228139139.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
"Hợp đồng Hợp tác kinh doanh (""HTKD"") (*)","Dài hạn > Hợp đồng Hợp tác kinh doanh (""HTKD"") (*)","Hợp đồng Hợp tác kinh doanh (""HTKD"") (*)",453.425.000,-,453425000.0,
Phải thu lãi cho vay,Dài hạn > Phải thu lãi cho vay,Phải thu lãi cho vay,47.244.711,88.192,47244711.0,88192.0
,,,500.669.711,88.192,500669711.0,88192.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,2.450.588.971,2.228.227.331,2450588971.0,2228227331.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải thu ngắn hạn các bên liên quan (TM số 28),Trong đó: > Phải thu ngắn hạn các bên liên quan (TM số 28),Phải thu ngắn hạn các bên liên quan (TM số 28),1.913.495.400,2.215.058.381,1913495400.0,2215058381.0
Phải thu dài hạn các bên liên quan (TM số 28),Trong đó: > Phải thu dài hạn các bên liên quan (TM số 28),Phải thu dài hạn các bên liên quan (TM số 28),47.244.711,88.192,47244711.0,88192.0
Phải thu các bên thử ba,Trong đó: > Phải thu các bên thử ba,Phải thu các bên thử ba,489.848.860,13.080.758,489848860.0,13080758.0
Dự phòng phải thu khác khó đòi,Trong đó: > Dự phòng phải thu khác khó đòi,Dự phòng phải thu khác khó đòi,(850.131.842),(852.801.123),-850131842.0,-852801123.0
GIÁ TRỊ THUÀN,Trong đó: > GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,1.600.457.129,1.375.426.208,1600457129.0,1375426208.0
